brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price,curved,g_sync_compat,sync
NEC,V322,32.0,1366 x 768,60.0,8.0,,16:9,868.0,False,False,
NEC,PA272W,27.0,2560 x 1440,85.0,6.0,IPS,16:9,1123.61,False,False,
NEC,EA274WMI-BK,27.0,2560 x 1440,60.0,6.0,IPS,16:9,535.27,False,False,
Planar,997-7687-00,20.0,1600 x 900,60.0,5.0,,16:9,,False,False,
NEC,EA275UHD-BK,27.0,3840 x 2160,60.0,6.0,IPS,16:9,664.94,False,False,
HP,Z23N,23.0,1920 x 1080,60.0,7.0,IPS,16:9,199.0,False,False,
NEC,EA295WMi-BK-SV,29.0,2560 x 1080,60.0,6.0,IPS,21:9,680.76,False,False,
ViewEra,V215HBM,21.5,1920 x 1080,60.0,5.0,TN,16:9,250.98,False,False,
ViewEra,V191BN2,19.0,1280 x 1024,60.0,5.0,TN,5:4,244.98,False,False,
AOC,2036S,20.0,1600 x 900,,5.0,,16:9,,False,False,
AOC,2436V,24.0,1920 x 1080,,5.0,,16:9,,False,False,
AOC,E2043F,20.0,1600 x 900,,5.0,,16:9,,False,False,
ViewSonic,VG732M,17.0,1280 x 1024,,5.0,,5:4,,False,False,
ViewSonic,VG2428WM,24.0,1920 x 1080,,5.0,,16:9,,False,False,
ViewSonic,VA2248m-LED,22.0,1920 x 1080,,5.0,,16:9,,False,False,
ViewSonic,VX2253mh-LED,22.0,1920 x 1080,,5.0,,16:9,,False,False,
ViewSonic,VG2228WM,22.0,1920 x 1080,,5.0,,16:9,,False,False,
ViewSonic,VA2448m-LED,24.0,1920 x 1080,,5.0,,16:9,,False,False,
ViewSonic,VA926g,19.0,1280 x 1024,,5.0,,5:4,,False,False,
ViewSonic,VA1948m-LED,19.0,1440 x 900,,5.0,,16:10,,False,False,
ViewSonic,VA2033-LED,20.0,1600 x 900,,5.0,,16:9,,False,False,
ViewSonic,VG2236wm-LED,22.0,1920 x 1080,,5.0,,16:9,,False,False,
ViewSonic,VA2333-LED,23.0,1920 x 1080,,5.0,,16:9,,False,False,
ViewSonic,VA1932WM,19.0,1440 x 900,,5.0,,16:10,,False,False,
ViewSonic,VA2232WM,22.0,1680 x 1050,,5.0,,16:10,,False,False,
Samsung,B1940EW,19.0,1440 x 900,,5.0,,16:10,,False,False,
Samsung,B1940ER,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Samsung,MD230,23.0,1920 x 1080,,8.0,,16:9,,False,False,
Samsung,B2240MW,22.0,1680 x 1050,,5.0,,16:10,,False,False,
Samsung,S24A300B,24.0,1920 x 1080,,5.0,,16:9,,False,False,
Samsung,S23A300B,23.0,1920 x 1080,,5.0,,16:9,,False,False,
Samsung,T23A950,23.0,1920 x 1080,120.0,5.0,,16:9,,False,False,
Samsung,T27A750,27.0,1920 x 1080,120.0,5.0,,16:9,,False,False,
Samsung,T23A750,23.0,1920 x 1080,,5.0,,16:9,,False,False,
