brand,model,socket,form_factor,mem_max,mem_slots,color,price
Gigabyte,B460M DS3H,LGA1200,Micro ATX,128,4,Black / Silver,107.87
Asus,TUF GAMING B550-PLUS,AM4,ATX,128,4,Black,159.99
ASRock,B550M-HDV,AM4,Micro ATX,64,2,Black,80.98
Asus,ROG Crosshair VIII Formula,AM4,ATX,128,4,Black,598.99
MSI,MPG B550 GAMING CARBON WIFI,AM4,ATX,128,4,Black / Silver,219.99
Asus,PRIME Z390-P,LGA1151,ATX,128,4,Silver / Black,95.99
ASRock,B550 Pro4,AM4,ATX,128,4,Silver / Black,134.99
Asus,ROG Strix X570-F Gaming,AM4,ATX,128,4,Black,367.75
Asus,ROG STRIX B550-I GAMING,AM4,Mini ITX,64,2,Black,219.99
Asus,PRIME Z490-A,LGA1200,ATX,128,4,Black / Silver,149.99
Asus,TUF GAMING B550M-PLUS,AM4,Micro ATX,128,4,Black,159.99
Asus,PRIME B550M-A,AM4,Micro ATX,128,4,Black / White,127.99
ASRock,A320M-HDV R4.0,AM4,Micro ATX,32,2,Black / White,77.46
Asus,ROG STRIX Z490-A GAMING,LGA1200,ATX,128,4,Black / Silver,249.99
MSI,MAG Z490 TOMAHAWK,LGA1200,ATX,128,4,Black / Silver,189.99
ASRock,B550M Steel Legend,AM4,Micro ATX,128,4,Silver / Black,109.99
Asus,ROG ZENITH II EXTREME ALPHA,sTRX4,EATX,256,8,Black / Silver,794.99
Asus,TUF B450-PLUS GAMING,AM4,ATX,64,4,Black / Gold,109.99
Gigabyte,B550 VISION D,AM4,ATX,128,4,White / Black,
ASRock,X570 Phantom Gaming 4S,AM4,ATX,128,4,Black,139.99
Asus,TUF GAMING Z490-PLUS,LGA1200,ATX,128,4,Black,197.99
Asus,ROG STRIX B550-E GAMING,AM4,ATX,128,4,Black,219.99
MSI,MEG X570 GODLIKE,AM4,EATX,128,4,Black,629.99
Gigabyte,X570 AORUS XTREME,AM4,EATX,128,4,Black / Silver,1133.69
Asus,ROG Crosshair VIII Dark Hero,AM4,ATX,128,4,Black / Silver,
Gigabyte,Z390 I AORUS PRO WIFI,LGA1151,Mini ITX,64,2,Black / Silver,164.99
ASRock,B450M/AC,AM4,Micro ATX,64,4,Black,93.98
ASRock,B550 Phantom Gaming 4/ac,AM4,ATX,128,4,Silver / Black,124.99
MSI,B450M MORTAR MAX,AM4,Micro ATX,64,4,Black,158.77
Asus,TUF GAMING X570-PRO,AM4,ATX,128,4,Black / Gold,219.99
Gigabyte,X570 GAMING X,AM4,ATX,128,4,Black / Silver,169.99
Asus,ROG Strix B450-I Gaming,AM4,Mini ITX,64,2,Black / Silver,169.94
MSI,B360 GAMING PLUS,LGA1151,ATX,64,4,Black / Red,109.94
Asus,RAMPAGE V EXTREME,LGA2011-3,EATX,64,8,Black / Red,1617.50
Asus,PRIME B365M-A,LGA1151,Micro ATX,64,4,Black / Silver,78.67
Gigabyte,TRX40 AORUS XTREME,sTRX4,XL ATX,256,8,Black / Silver,849.99
ASRock,Fatal1ty B450 Gaming-ITX/ac,AM4,Mini ITX,32,2,Black / Silver,99.99
Gigabyte,B550 AORUS ELITE AX,AM4,ATX,128,4,Black,169.99
Gigabyte,Z390 UD,LGA1151,ATX,128,4,Black / Silver,109.99
MSI,B460M-A PRO,LGA1200,Micro ATX,64,2,Black,85.80
ASRock,A520M-HDV,AM4,Micro ATX,64,2,Black / Silver,64.98
MSI,MPG Z390 GAMING PLUS,LGA1151,ATX,128,4,Black / Red,109.99
Gigabyte,X570 AORUS ULTRA,AM4,ATX,128,4,Black / Silver,294.99
