brand,model,socket,form_factor,mem_max,mem_slots,color,price
ASRock,Z490 Extreme4,LGA1200,ATX,128,4,Black / Silver,189.99
Gigabyte,Z490 VISION D,LGA1200,ATX,128,4,Black / Silver,289.99
ASRock,H310CM-DVS,LGA1151,Micro ATX,32,2,Black,81.54
ASRock,Z270M Pro4,LGA1151,Micro ATX,64,4,Black / White,
MSI,Z170A GAMING M5,LGA1151,ATX,64,4,Black / Red,
Gigabyte,GA-78LMT-USB3,AM3+,Micro ATX,32,4,Blue / White,327.58
Asus,ROG MAXIMUS XI FORMULA,LGA1151,ATX,128,4,Black,1389.00
Gigabyte,B365 HD3,LGA1151,ATX,64,4,Black / Silver,94.99
MSI,B360M BAZOOKA,LGA1151,Micro ATX,64,4,Black / White,
ASRock,H470M Pro4,LGA1200,Micro ATX,128,4,Black / Silver,104.99
Asus,ROG MAXIMUS X FORMULA,LGA1151,ATX,64,4,Black,1890.73
Gigabyte,GA-A320M-H,AM4,Micro ATX,32,2,Black,
Asus,X99-E,LGA2011-3,ATX,128,8,Black / Silver,1597.63
ASRock,A320M-ITX,AM4,Mini ITX,32,2,Black / Silver,103.99
ASRock,B365M-HDV,LGA1151,Micro ATX,32,2,Black / Silver,71.99
Gigabyte,X470 AORUS ULTRA GAMING,AM4,ATX,64,4,Black / Orange,241.52
Asus,ROG STRIX B460-F GAMING,LGA1200,ATX,128,4,Black / Silver,
ASRock,Fatal1ty B450 GAMING K4,AM4,ATX,64,4,Black / Silver,126.42
MSI,Z370 GAMING PLUS,LGA1151,ATX,64,4,Black / Red,
Asus,TUF GAMING B450M-PRO S,AM4,Micro ATX,128,4,Black,129.99
NZXT,N7-Z39XT-B1,LGA1151,ATX,64,4,Black,249.99
Asus,MAXIMUS VIII HERO,LGA1151,ATX,64,4,Black / Red,
ASRock,B550M Phantom Gaming 4,AM4,Micro ATX,128,4,Black,
MSI,MAG B460 TORPEDO,LGA1200,ATX,128,4,Black,99.99
MSI,B350M GAMING PRO,AM4,Micro ATX,32,2,Black / Red,
ASRock,H61M-VG3,LGA1155,Mini ITX,16,2,Black / Blue,180.00
Gigabyte,Z390 AORUS MASTER,LGA1151,ATX,128,4,Black / Silver,
Asus,EX-A320M-GAMING,AM4,Micro ATX,64,4,Red / Black,146.88
Asus,ROG STRIX H470-I GAMING,LGA1200,Mini ITX,64,2,Black,159.99
Asus,ROG STRIX B360-I GAMING,LGA1151,Mini ITX,32,2,Black / Silver,248.95
MSI,MPG Z390M GAMING EDGE AC,LGA1151,Micro ATX,128,4,Black / Silver,
MSI,970 GAMING,AM3+,ATX,32,4,Black / Red,
ASRock,X570 Extreme4,AM4,ATX,128,4,Black / Silver,231.99
Asus,ROG STRIX Z390-H GAMING,LGA1151,ATX,128,4,Black / Red,
MSI,A520M PRO,AM4,Micro ATX,64,2,Black,83.98
MSI,X370 GAMING PRO CARBON,AM4,ATX,64,4,Black / Silver,289.87
MSI,MPG Z490 CARBON EK X,LGA1200,ATX,128,4,Black,389.99
Asus,CROSSHAIR VI HERO,AM4,ATX,64,4,Black / Gray,275.86
Asus,TUF GAMING B460-PLUS,LGA1200,ATX,128,4,Black / Gold,231.00
Asus,ROG Strix X399-E Gaming,sTR4,EATX,128,8,Black,324.99
EVGA,X299 FTW K,LGA2066,EATX,128,8,Black,159.54
MSI,X470 GAMING PRO MAX,AM4,ATX,128,4,Black / Silver,205.11
Asus,M5A97 R2.0,AM3+,ATX,32,4,Black / Blue,
Gigabyte,Z390 DESIGNARE,LGA1151,ATX,128,4,Black / Silver,269.99
ASRock,H470 Phantom Gaming 4,LGA1200,ATX,128,4,Black / Gray,100.99
Gigabyte,GA-A520M-DS3H,AM4,Micro ATX,128,4,Black,
MSI,B350M BAZOOKA,AM4,Micro ATX,64,4,Black / White,
Asus,PRIME H310M-K R2.0,LGA1151,Micro ATX,32,2,Black,
Gigabyte,A520M H,AM4,Micro ATX,64,2,Black,
Asus,Prime X299 Edition 30,LGA2066,ATX,256,8,Black / White,749.99
ASRock,Z490 Taichi,LGA1200,ATX,128,4,Black / Gold,274.99
Asus,ROG STRIX Z490-H GAMING,LGA1200,ATX,128,4,Black / Red,219.99
ASRock,B360M-HDV,LGA1151,Micro ATX,32,2,Black / Silver,140.56
MSI,H81M-E35,LGA1150,Micro ATX,16,2,Black / Blue,79.94
Asus,ROG Crosshair VII Hero,AM4,ATX,64,4,Black,
Gigabyte,B450M AORUS ELITE,AM4,Micro ATX,128,4,Black / Orange,
MSI,B350 TOMAHAWK ARCTIC,AM4,ATX,64,4,White,
Gigabyte,H310M A,LGA1151,Micro ATX,32,2,Silver / Brown,
Gigabyte,X299X AORUS XTREME WATERFORCE,LGA2066,XL ATX,256,8,Black / Silver,
Asus,ROG STRIX B450-E GAMING,AM4,ATX,64,4,Black,
MSI,Creator X299,LGA2066,EATX,256,8,Black / Silver,559.74
ASRock,Fatal1ty X470 Gaming-ITX/ac,AM4,Mini ITX,32,2,Black / Silver,173.99
