brand,model,core_count,core_clock,boost_clock,tdp,integrated_graphics,smt,price
Intel,Core i5-4690K,4,3.5,3.9,88,Intel HD Graphics 4600,No,
Intel,Core 2 Quad Q9650,4,3,,95,None,No,
Intel,Xeon E5-2698 V4,20,2.2,3.6,135,None,Yes,
Intel,Core i5-3340,4,3.1,3.3,77,Intel HD Graphics 2500,No,149.99
Intel,Pentium Gold G5400T,2,3.1,,35,Intel UHD Graphics 610,Yes,
Intel,Xeon E5-2630 V4,10,2.2,3.1,85,None,Yes,479.00
Intel,Core i5-4590S,4,3,3.7,65,Intel HD Graphics 4000,No,
Intel,Core i5-6400,4,2.7,3.3,65,Intel HD Graphics 530,No,
Intel,Core i7-7700T,4,2.9,3.8,35,Intel HD Graphics 630,Yes,387.99
Intel,Core i3-550,2,3.2,,73,Intel HD Graphics,Yes,173.27
Intel,Core i9-9900T,8,2.1,4.4,35,Intel UHD Graphics 630,Yes,
Intel,Core 2 Quad Q8200,4,2.33,,95,None,No,53.45
Intel,Core i7-5930K,6,3.5,3.7,140,None,Yes,
Intel,Core i3-6320,2,3.9,,51,Intel HD Graphics 530,Yes,573.00
Intel,Xeon E5-1620 V3,4,3.5,3.6,140,None,Yes,499.95
AMD,Phenom II X4 830,4,2.8,,95,None,No,74.48
Intel,Xeon E5-2687W V4,12,3,3.5,160,None,Yes,2211.14
Intel,Core i5-3350P,4,3.1,,69,None,No,
AMD,Ryzen 3 1200,4,3.1,3.4,65,None,No,
Intel,Core i5-9400,6,2.9,4.1,65,Intel UHD Graphics 630,No,
Intel,Core i7-3770S,4,3.1,,65,Intel HD Graphics 4000,Yes,349.88
Intel,Core i7-4770K,4,3.5,3.9,84,Intel HD Graphics 4600,Yes,329.99
Intel,Xeon E3-1245 V6,4,3.7,4.1,73,Intel HD Graphics P630,Yes,309.99
Intel,Xeon E5-2603,4,1.8,,80,None,No,79.98
Intel,Core 2 Duo E7300,2,2.66,,65,None,No,28.20
AMD,Ryzen 7 1800X,8,3.6,4,95,None,Yes,
Intel,Core i9-7960X,16,2.8,4.4,165,None,Yes,1170.00
Intel,Core i5-9600KF,6,3.7,4.6,95,None,No,
Intel,Core i9-9900X,10,3.5,4.4,165,None,Yes,564.54
Intel,Xeon E5-2670,8,2.6,3.3,115,None,Yes,
Intel,Core i7-990X Extreme Edition,6,3.467,,130,None,Yes,
AMD,Athlon 3000G,2,3.5,,35,Radeon Vega 3,Yes,
Intel,Xeon E5-2660 V3,10,2.6,3.3,105,None,Yes,350.00
Intel,Core i7-4960X Extreme Edition,6,3.6,4,130,None,Yes,1805.04
Intel,Core i9-9900,8,3.1,5,65,Intel UHD Graphics 630,Yes,
Intel,Core i3-540,2,3.06,,73,Intel HD Graphics,Yes,179.95
Intel,Pentium G2030,2,3,,55,Intel HD Graphics,No,
Intel,Core 2 Duo E8600,2,3.33,,65,None,No,105.99
Intel,Core i7-975 Extreme Edition,4,3.33,,130,None,Yes,553.97
Intel,Core i3-6300,2,3.8,,51,Intel HD Graphics 530,Yes,
Intel,Xeon E5-1620 V4,4,3.5,3.8,140,None,Yes,199.00
Intel,Celeron G1620,2,2.7,,55,Intel HD Graphics,No,
Intel,Xeon E3-1220 V3,4,3.1,3.5,80,None,No,
AMD,A10-7870K,4,3.9,4.1,95,Radeon R7 (on-die),No,
AMD,Athlon X4 760K,4,3.8,4.1,100,None,No,
Intel,Pentium Gold G5500,2,3.8,,54,Intel UHD Graphics 630,Yes,
Intel,Core i3-9300,4,3.7,4.3,62,None,No,189.95
Intel,Xeon E5-2670 V3,12,2.3,3.1,120,None,Yes,
Intel,Core i5-6600,4,3.3,3.9,65,Intel HD Graphics 530,No,
Intel,Core i7-6700T,4,2.8,3.6,35,Intel HD Graphics 530,Yes,
AMD,A8-5500,4,3.2,,65,Radeon HD 7560D,No,
Intel,Core i7-3970X Extreme Edition,6,3.5,,150,None,Yes,603.97
Intel,Xeon E5-1650 V4,6,3.6,4,140,None,Yes,
Intel,Xeon E-2146G,6,3.5,4.5,80,Intel HD Graphics P630,Yes,330.14
AMD,A10-9700E,4,3,3.5,35,Radeon R7 (on-die),No,110.33
Intel,Core i7-5775C,4,3.3,3.7,65,Iris Pro Graphics 6200,Yes,
Intel,Core i3-4340,2,3.6,,54,Intel HD Graphics 4600,Yes,
Intel,Pentium E2220,2,2.4,,65,None,No,37.64
Intel,Pentium G3220,2,3,,54,Intel HD Graphics,No,
Intel,Pentium E5300,2,2.6,,65,None,No,59.49
Intel,Core i7-4771,4,3.5,3.9,84,Intel HD Graphics 4600,Yes,
Intel,Pentium G4560T,2,2.9,,35,Intel HD Graphics 610,Yes,69.98
Intel,Pentium G4520,2,3.6,,51,Intel HD Graphics 530,No,
Intel,Core i5-4690K,4,3.5,3.9,88,Intel HD Graphics 4600,No,
AMD,Athlon II X2 255,2,3.1,,65,None,No,
Intel,Core i5-8500T,6,2.1,3.5,35,Intel UHD Graphics 630,No,217.38
AMD,Opteron 6378,16,2.4,3.3,115,None,No,921.95
Intel,Core i3-9350K,4,4,4.6,91,Intel HD Graphics 630,No,331.67
Intel,Celeron G5905,2,3.5,,58,Intel UHD Graphics 610,No,62.63
Intel,Xeon E5-1650 V2,6,3.5,3.9,130,None,Yes,634.95
AMD,A6-5400K,2,3.6,,65,Radeon HD 7540D,No,124.74
Intel,Core i5-8500,6,3,4.1,65,Intel UHD Graphics 630,No,269.81
AMD,FX-4130,4,3.8,,125,None,No,
Intel,Core i7-3960X Extreme Edition,6,3.3,,130,None,Yes,633.97
AMD,Athlon II X4 635,4,2.9,,95,None,No,65.07
Intel,Core i7-970,6,3.2,,130,None,Yes,494.06
AMD,Athlon X4 880K,4,4,4.2,95,None,No,
Intel,Pentium G3420,2,3.2,,54,Intel HD Graphics,No,101.94
Intel,Xeon E5-1650 V3,6,3.5,3.8,140,None,Yes,
Intel,Core i3-7300,2,4,,51,Intel HD Graphics 630,Yes,
AMD,A10-5700,4,3.4,,65,Radeon HD 7660D,No,
Intel,Core 2 Extreme QX9770,4,3.2,,136,None,No,
Intel,Core i3-3210,2,3.2,,55,Intel HD Graphics 2500,Yes,283.50
AMD,Phenom II X6 1055T,6,2.8,,125,None,No,
Intel,Core 2 Extreme QX6800,4,2.93,,100,None,No,998.95
AMD,A8-6500,4,3.5,,65,Radeon HD 8570D,No,314.27
Intel,Core 2 Duo E8500,2,3.16,,65,None,No,
Intel,Pentium G3260,2,3.3,,53,Intel HD Graphics,No,
Intel,Core i9-7940X,14,3.1,4.4,165,None,Yes,
Intel,Xeon E-2176G,6,3.7,4.7,80,Intel HD Graphics P630,Yes,394.70
Intel,Xeon E-2124,4,3.3,4.3,71,None,No,212.49
Intel,Core i5-8600T,6,2.3,3.7,35,Intel UHD Graphics 630,No,199.99
AMD,A12-9800,4,3.8,4.2,65,Radeon R7 (on-die),No,
AMD,A4-7300,2,3.8,4,65,Radeon HD 8470D,No,138.00
Intel,Xeon E5-2699 V3,18,2.3,3.6,145,None,Yes,3089.95
Intel,Core i7-7800X,6,3.5,4,140,None,Yes,449.98
AMD,Phenom II X4 820,4,2.8,,95,None,No,74.57
Intel,Core i5-5675C,4,3.1,3.6,65,Iris Pro Graphics 6200,No,
Intel,Xeon E5-2690,8,2.9,3.8,135,None,Yes,
Intel,Xeon E5-1650,6,3.2,3.8,130,None,Yes,
AMD,A6-7400K,2,3.5,3.9,65,Radeon R5 (on die),No,
Intel,Core i7-860S,4,2.53,,82,None,Yes,120.00
Intel,Xeon E3-1230,4,3.2,,80,None,Yes,417.95
Intel,Pentium Gold G5600,2,3.9,,54,Intel UHD Graphics 630,Yes,
AMD,A10-7700K,4,3.4,3.8,95,Radeon R7 (on-die),No,547.80
Intel,Core i5-2310,4,2.9,,95,Intel HD Graphics 2000,No,
Intel,Core i5-9600K,6,3.7,4.6,95,Intel UHD Graphics 630,No,
Intel,Core i5-7400T,4,2.4,3,35,Intel HD Graphics 630,No,218.75
Intel,Xeon E5-2667 V3,8,3.2,3.6,135,None,Yes,772.96
Intel,Xeon E5-2643 V2,6,3.5,3.8,130,None,Yes,230.57
Intel,Xeon E5-2697 V2,12,2.7,3.5,130,None,Yes,1995.09
AMD,Threadripper 2950X,16,3.5,4.4,180,None,Yes,
Intel,Core i5-4460S,4,2.9,3.4,65,Intel HD Graphics 4000,No,
Intel,Core 2 Quad Q9650,4,3,,95,None,No,138.44
Intel,Pentium G2140,2,3.3,,55,Intel HD Graphics,No,45.00
AMD,A8-7680,4,3.5,3.8,65,Radeon R7 (on-die),No,
Intel,Celeron 430,1,1.8,,35,None,No,
AMD,A4-3400,2,2.7,,65,Radeon HD 6410D,No,149.94
AMD,Threadripper 2990WX,32,3,4.2,250,None,Yes,
Intel,Pentium E5700,2,3,,65,None,No,
Intel,Core i7-870,4,2.93,,95,None,Yes,203.97
AMD,A4-6300,2,3.7,3.9,65,Radeon HD 8370D,No,
Intel,Core i5-3330S,4,2.7,3.2,65,Intel HD Graphics 2500,No,205.03
Intel,Xeon E5-2630,6,2.3,,95,None,Yes,202.12
AMD,Athlon II X2 250,2,3,,65,None,No,184.71
AMD,Opteron 6344,12,2.6,3.2,115,None,No,379.00
AMD,A10-6790K,4,4,4.3,100,Radeon HD 8670D,No,
Intel,Celeron G1840,2,2.8,,53,Intel HD Graphics,No,
AMD,A10-6700,4,3.7,,65,Radeon HD 8670D,No,
Intel,Core i5-4690,4,3.5,3.9,84,Intel HD Graphics 4600,No,
Intel,Core 2 Extreme QX9775,4,3.2,,150,None,No,1495.00
Intel,Xeon E5-2630 V3,8,2.4,3.2,85,None,Yes,
AMD,A10-7860k,4,3.6,4,65,Radeon R7 (on-die),No,
AMD,FX-6200,6,3.8,,125,None,No,
Intel,Xeon E-2236,6,3.4,4.8,80,None,Yes,329.63
Intel,Core i7-920,4,2.66,,130,None,Yes,235.60
Intel,Pentium G3460,2,3.5,,53,Intel HD Graphics,No,106.37
AMD,FX-4300,4,3.8,,95,None,No,
Intel,Core i3-530,2,2.93,,73,Intel HD Graphics,Yes,
AMD,FX-4170,4,4.2,,125,None,No,
AMD,Phenom II X6 1055T,6,2.8,,125,None,No,189.99
Intel,Xeon E5-2690 V2,10,3,3.6,130,None,Yes,2147.00
Intel,Core i5-8500,6,3,4.1,65,Intel UHD Graphics 630,No,314.98
Intel,Xeon E3-1230 V3,4,3.3,3.7,80,None,Yes,517.50
Intel,Core i3-6100T,2,3.2,,35,Intel HD Graphics 530,Yes,
Intel,Pentium G630,2,2.7,,65,Intel HD Graphics,No,60.00
Intel,Core i5-4570T,2,2.9,,35,Intel HD Graphics 4600,Yes,283.48
Intel,Core i3-4330,2,3.5,,54,Intel HD Graphics 4600,Yes,395.28
Intel,Core i7-2600S,4,2.8,,65,Intel HD Graphics 2000,Yes,291.76
Intel,Core i5-3570,4,3.4,,77,Intel HD Graphics 2500,No,
Intel,Core i7-7700T,4,2.9,3.8,35,Intel HD Graphics 630,Yes,
Intel,Core i3-3225,2,3.3,,55,Intel HD Graphics 4000,Yes,122.42
Intel,Pentium E5400,2,2.7,,65,None,No,75.00
Intel,Core i3-3220T,2,2.8,,35,Intel HD Graphics 2500,Yes,267.93
Intel,Core 2 Quad Q9300,4,2.5,,95,None,No,75.56
Intel,Celeron G3930,2,2.9,,51,Intel HD Graphics 610,No,84.74
AMD,A4-4020,2,3.2,3.4,65,Radeon HD 7480D,No,
Intel,Xeon E3-1220,4,3.1,,80,None,No,179.97
AMD,Athlon X4 845,4,3.5,3.8,65,None,No,
Intel,Core i7-9700T,8,2,4.3,35,Intel HD Graphics 630,No,
Intel,Core i9-7900X,10,3.3,4.5,140,None,Yes,698.99
AMD,FX-6100,6,3.3,,95,None,No,
AMD,Ryzen 7 1800X,8,3.6,4,95,None,Yes,
Intel,Xeon E-2274G,4,4,4.9,83,Intel HD Graphics P630,Yes,364.05
Intel,Core i3-6100T,2,3.2,,35,Intel HD Graphics 530,Yes,
Intel,Core i3-560,2,3.333,,73,Intel HD Graphics,Yes,
AMD,Phenom II X4 955 Black,4,3.2,,125,None,No,
Intel,Core i3-9100T,4,3.1,3.7,35,Intel UHD Graphics 630,No,
Intel,Pentium G620,2,2.6,,65,Intel HD Graphics,No,
Intel,Core i5-2550K,4,3.4,,95,None,No,
Intel,Core i7-980,6,3.333,,130,None,Yes,1105.02
Intel,Core i5-2380P,4,3.1,,95,None,No,150.00
Intel,Pentium Gold G5400,2,3.7,,58,Intel UHD Graphics 610,Yes,
Intel,Pentium G3250,2,3.2,,53,Intel HD Graphics,No,
Intel,Celeron 430,1,1.8,,35,None,No,75.62
Intel,Core i5-3570S,4,3.1,3.8,65,Intel HD Graphics 2500,No,
AMD,A8-3870K,4,3,,100,Radeon HD 6550D,No,
Intel,Core 2 Quad Q6600,4,2.4,,100,None,No,518.00
Intel,Core i5-4590T,4,2,,35,Intel HD Graphics 4000,Yes,
AMD,Athlon X4 750K,4,3.4,,100,None,No,
AMD,Athlon 240GE,2,3.5,,35,Radeon Vega 3,Yes,
Intel,Xeon E3-1220 V6,4,3,3.5,72,None,No,214.97
Intel,Core i3-8300T,4,3.2,,35,Intel UHD Graphics 630,No,154.05
Intel,Xeon E-2126G,6,3.3,4.5,80,Intel HD Graphics P630,No,286.29
Intel,Core 2 Duo E6550,2,2.33,,65,None,No,49.79
AMD,Athlon X4 870K,4,3.9,4.1,95,None,No,
AMD,Athlon 200GE,2,3.2,,35,Radeon Vega 3,Yes,
Intel,Xeon E5-2695 V3,14,2.3,3.3,120,None,Yes,2451.42
Intel,Xeon E5-2620,6,2,,95,None,Yes,139.94
AMD,Phenom II X2 B59,2,3.4,,80,None,No,
Intel,Core i3-2120T,2,2.6,,35,Intel HD Graphics 2000,Yes,133.88
Intel,Xeon E5-1660 V3,8,3,3.5,140,None,Yes,404.44
AMD,FX-9370,8,4.4,4.7,220,None,No,
AMD,FX-9590,8,4.7,5,220,None,No,
Intel,Core i5-4440S,4,2.8,3.3,65,Intel HD Graphics 4600,No,
Intel,Xeon E5-2620 V2,6,2.1,2.6,80,None,Yes,
AMD,Athlon 220GE,2,3.4,,35,Radeon Vega 3,Yes,
Intel,Core 2 Duo E4400,2,2,,65,None,No,
Intel,Xeon E5-2609,4,2.4,,80,None,No,
Intel,Core 2 Extreme QX9650,4,3,,130,None,No,499.99
Intel,Xeon E-2136,6,3.3,4.5,80,None,Yes,303.11
Intel,Core i3-8300,4,3.7,,62,Intel UHD Graphics 630,No,155.81
Intel,Core i7-875K,4,2.93,,95,None,Yes,353.97
AMD,FX-6350,6,3.9,,125,None,No,
Intel,Pentium Gold G6500,2,4.1,,58,Intel UHD Graphics 630,Yes,
Intel,Pentium G4500,2,3.5,,51,Intel HD Graphics 530,No,
AMD,Athlon X4 860K,4,3.7,4,95,None,No,
Intel,Xeon E3-1225 V3,4,3.2,3.6,84,Intel HD Graphics P4600,No,
Intel,Xeon E3-1220 V2,4,3.1,,69,None,No,
Intel,Xeon E5-2683 V4,16,2.1,3,120,None,Yes,1969.95
AMD,Opteron 6320,8,2.8,3.3,115,None,No,249.01
Intel,Xeon E5-2630 V2,6,2.6,3.1,80,None,Yes,
Intel,Xeon E3-1240L V5,4,2.1,3.2,25,None,Yes,
Intel,Xeon E5-2609,4,2.4,,80,None,No,94.07
Intel,Pentium G4620,2,3.7,,51,Intel HD Graphics 630,Yes,197.99
Intel,Core i7-6800K,6,3.4,3.6,140,None,Yes,359.98
Intel,Xeon E3-1270 V2,4,3.5,,69,None,Yes,
Intel,Core 2 Quad Q8200,4,2.33,,95,None,No,144.01
AMD,Phenom II X4 960T Black,4,3,,95,None,No,
AMD,Phenom II X4 965,4,3.4,,125,None,No,
AMD,Phenom II X6 1045T,6,2.7,,95,None,No,
Intel,Core i5-9400T,6,1.8,3.4,35,Intel UHD Graphics 630,No,
Intel,Core i7-5820K,6,3.3,3.6,140,None,Yes,
AMD,Phenom II X4 975,4,3.6,,125,None,No,172.56
Intel,Xeon E5-2670 V2,10,2.5,3.3,115,None,Yes,1527.50
Intel,Pentium E5200,2,2.5,,65,None,No,
Intel,Xeon E5-2687W,8,3.1,3.8,150,None,Yes,565.09
Intel,Celeron E3300,2,2.5,,65,None,No,43.99
Intel,Pentium G3240,2,3.1,,53,Intel HD Graphics,No,
Intel,Core i5-4690S,4,3.2,3.9,65,Intel HD Graphics 4600,No,
Intel,Atom D2500,2,1.867,,10,Intel HD Graphics,No,
Intel,Core i9-9940X,14,3.3,4.4,165,None,Yes,746.98
Intel,Core i3-4370,2,3.8,,54,Intel HD Graphics 4600,Yes,198.69
Intel,Xeon E3-1240,4,3.3,,80,None,Yes,572.59
AMD,Phenom II X4 945,4,3,,125,None,No,
AMD,Athlon X4 840,4,3.1,3.8,65,None,No,
Intel,Xeon E5-2667 V2,8,3.3,4,130,None,Yes,
Intel,Xeon E3-1230 V6,4,3.5,3.9,72,None,Yes,269.99
Intel,Core i5-7600,4,3.5,4.1,65,Intel HD Graphics 630,No,
Intel,Celeron G1830,2,2.8,,53,Intel HD Graphics,No,
Intel,Xeon E5-2687W V3,10,3.1,3.5,160,None,Yes,2998.95
Intel,Xeon E3-1230 V5,4,3.4,3.8,80,None,Yes,499.95
AMD,E-Series E-450,2,1.65,,18,None,No,
Intel,Xeon E5-2630L V3,8,1.8,2.9,55,None,Yes,
Intel,Celeron G5925,2,3.6,,58,Intel UHD Graphics 610,No,72.63
Intel,Core i3-4130T,2,2.9,,35,Intel HD Graphics 4400,Yes,299.95
AMD,A8-3850,4,2.9,,100,Radeon HD 6550D,No,
AMD,FX-8370E,8,3.3,4.3,95,None,No,
AMD,Phenom II X4 940 Black,4,3,,125,None,No,
AMD,Phenom II X4 840,4,3.2,,95,None,No,
AMD,Athlon II 160u,1,1.8,,20,None,No,
Intel,Xeon E3-1271 V3,4,3.6,4,80,None,Yes,
AMD,Threadripper 2970WX,24,3,4.2,250,None,Yes,
Intel,Xeon E5-2660,8,2.2,3,95,None,Yes,
AMD,Phenom II X2 555 Black,2,3.2,,80,None,No,294.82
Intel,Pentium G860,2,3,,65,Intel HD Graphics,No,72.98
Intel,Core i7-7820X,8,3.6,4.5,140,None,Yes,799.75
Intel,Xeon E3-1285 V6,4,4.1,4.5,79,Intel HD Graphics 630,Yes,516.26
Intel,Core i7-6900K,8,3.2,3.7,140,None,Yes,1065.06
Intel,Core i5-660,2,3.33,,73,Intel HD Graphics,Yes,349.95
AMD,A10-5800K,4,3.8,,100,Radeon HD 7660D,No,
AMD,FX-8310,8,3.4,4.3,95,None,No,
Intel,Core i7-3770T,4,2.5,3.7,45,Intel HD Graphics 4000,Yes,
AMD,Opteron 6328,8,3.2,3.8,115,None,No,1818.00
Intel,Core i5-9500T,6,2.2,3.7,35,Intel UHD Graphics 630,No,
Intel,Xeon E-2286G,6,4,4.9,95,Intel HD Graphics P630,Yes,
Intel,Xeon E3-1245 V2,4,3.4,,77,Intel HD Graphics P4000,Yes,367.50
Intel,Xeon E5-2680 V2,10,2.8,3.6,115,None,Yes,
AMD,FX-9370,8,4.4,4.7,220,None,No,
Intel,Core i7-880,4,3.06,,95,None,Yes,
AMD,Athlon II X4 645,4,3.1,,95,None,No,
Intel,Core 2 Quad Q8400,4,2.66,,95,None,No,
Intel,Xeon E-2124G,4,3.4,4.5,71,Intel HD Graphics P630,No,238.73
Intel,Core i5-4670S,4,3.1,3.8,65,Intel HD Graphics 4600,No,621.00
Intel,Xeon E5-2660 V4,14,2,3.2,105,None,Yes,1470.06
Intel,Xeon E5-2650L V4,14,1.7,2.5,65,None,Yes,651.14
Intel,Xeon E3-1240 V2,4,3.4,,69,None,Yes,345.00
Intel,Core i3-2105,2,3.1,,65,Intel HD Graphics 3000,Yes,104.99
Intel,Core i3-6098P,2,3.6,,54,Intel HD Graphics 510,Yes,336.00
Intel,Pentium E5800,2,3.2,,65,None,No,
AMD,Athlon II X3 450,3,3.2,,95,None,No,
Intel,Xeon E5-2665,8,2.4,3.1,115,None,Yes,449.95
Intel,Pentium G4400,2,3.3,,54,Intel HD Graphics 510,No,
Intel,Core 2 Quad Q8300,4,2.5,,95,None,No,
Intel,Xeon E3-1225 V6,4,3.3,3.7,73,Intel HD Graphics P630,No,232.56
Intel,Xeon E5-2640 V2,8,2,2.5,95,None,Yes,179.95
Intel,Celeron E1200,2,1.6,,65,None,No,70.00
Intel,Xeon E-2278G,8,3.4,5,80,Intel HD Graphics P630,Yes,
Intel,Xeon E5-2650 V3,10,2.3,3,105,None,Yes,
Intel,Xeon E3-1246 V3,4,3.5,3.9,84,Intel HD Graphics P4600,Yes,
Intel,Xeon E5-4650,8,2.7,3.3,130,None,Yes,948.88
AMD,FX-6120,6,3.5,4.1,95,None,No,
Intel,Xeon E-2134,4,3.5,4.5,71,None,Yes,266.55
Intel,Core i3-7350K,2,4.2,,60,Intel HD Graphics 630,Yes,
Intel,Celeron G3900,2,2.8,,51,Intel HD Graphics 510,No,
Intel,Xeon E5-1650 V3,6,3.5,3.8,140,None,Yes,
Intel,Celeron 440,1,2,,35,None,No,49.99
Intel,Core i7-4770T,4,2.5,,45,Intel HD Graphics 4600,Yes,
Intel,Core i3-4360,2,3.7,,54,Intel HD Graphics 4600,Yes,
Intel,Celeron G3950,2,3,,51,Intel HD Graphics 610,No,
AMD,Phenom II X2 550 Black,2,3.1,,80,None,No,203.38
Intel,Xeon E5-2603 V4,6,1.7,,85,None,No,254.95
Intel,Core i5-3360M,2,2.8,3.5,35,Intel HD Graphics,Yes,594.15
Intel,Xeon E5-2630 V3,8,2.4,3.2,85,None,Yes,675.00
AMD,Phenom II X3 720 Black,3,2.8,,95,None,No,
Intel,Core i5-6600T,4,2.7,3.5,35,Intel HD Graphics 530,No,294.98
Intel,Xeon E5-2637 V2,4,3.5,3.8,130,None,Yes,
Intel,Pentium E2140,2,1.6,,65,None,No,102.59
Intel,Core i7-965 Extreme Edition,4,3.2,,130,None,Yes,998.95
AMD,Phenom II X6 1075T,6,3,,95,None,No,
Intel,Core i5-8600,6,3.1,4.3,65,Intel UHD Graphics 630,No,
Intel,Xeon E3-1241 V3,4,3.5,3.9,80,None,Yes,
Intel,Xeon E3-1270,4,3.4,,80,None,Yes,
Intel,Xeon E3-1275 V6,4,3.8,4.2,73,Intel HD Graphics P630,Yes,362.59
AMD,Athlon II X4 620,4,2.6,,95,None,No,205.99
Intel,Celeron G530,2,2.4,,65,Intel HD Graphics,No,69.98
Intel,Core 2 Quad Q8400,4,2.66,,95,None,No,235.34
Intel,Core i5-9500F,6,3,4.4,65,None,No,
Intel,Xeon E3-1270 V3,4,3.5,3.9,80,None,Yes,585.00
Intel,Pentium E2200,2,2.2,,65,None,No,54.00
Intel,Core 2 Duo E6400,2,2.13,,65,None,No,98.95
Intel,Core 2 Quad Q6700,4,2.66,,100,None,No,
Intel,Core i5-9600T,6,2.3,3.9,35,Intel UHD Graphics 630,No,
Intel,Celeron G1820,2,2.7,,53,Intel HD Graphics,No,
Intel,Xeon E3-1265L V2,4,2.5,,45,Intel HD Graphics 2500,Yes,
Intel,Core 2 Quad Q9550,4,2.83,,95,None,No,
AMD,A4-4000,2,3,,65,Radeon HD 7480D,No,139.84
Intel,Xeon E5-2680 V3,12,2.5,3.3,120,None,Yes,
Intel,Xeon E3-1280,4,3.5,,95,None,Yes,616.26
Intel,Core 2 Duo E4500,2,2.2,,65,None,No,
Intel,Xeon E5-2420V2,6,2.2,2.7,80,None,Yes,
Intel,Xeon E3-1260L V5,4,2.9,3.9,45,None,Yes,
Intel,Core 2 Quad Q9400,4,2.66,,95,None,No,
Intel,Core i3-7320,2,4.1,,51,Intel HD Graphics 630,Yes,270.66
Intel,Pentium G2120,2,3.1,,55,Intel HD Graphics,No,74.98
Intel,Xeon E-2246G,6,3.6,4.8,80,Intel HD Graphics P630,Yes,
Intel,Core 2 Duo E7400,2,2.8,,65,None,No,129.94
Intel,Core i7-940,4,2.93,,130,None,Yes,349.99
AMD,Sempron 140,1,2.7,,45,None,No,
Intel,Core i5-9600,6,3.1,4.6,65,Intel UHD Graphics 630,No,
Intel,Core i7-5960X,8,3,3.5,140,None,Yes,
Intel,Core i5-7400T,4,2.4,3,35,Intel HD Graphics 630,No,
AMD,A6-3650,4,2.6,,100,Radeon HD 6530D,No,
Intel,Xeon E3-1270 V6,4,3.8,4.2,72,None,Yes,339.99
Intel,Core 2 Duo E4600,2,2.4,,65,None,No,204.37
Intel,Xeon E5-2695 V2,12,2.4,3.2,115,None,Yes,689.00
Intel,Xeon E3-1225 V5,4,3.3,3.7,80,Intel HD Graphics P530,No,249.99
Intel,Pentium E6600,2,3.06,,65,None,No,99.99
Intel,Core i5-680,2,3.6,,73,Intel HD Graphics,Yes,
AMD,Athlon II X2 270,2,3.4,,65,None,No,
Intel,Core i5-9400,6,2.9,4.1,65,Intel UHD Graphics 630,No,
AMD,A8-7670K,4,3.6,3.9,95,Radeon R7 (on-die),No,
Intel,Xeon E3-1245 V3,4,3.4,3.8,84,Intel HD Graphics P4600,Yes,
Intel,Xeon E5-2650L V3,12,1.8,2.5,65,None,Yes,
Intel,Xeon E5-2660 V2,10,2.2,3,95,None,Yes,
Intel,Xeon E3-1225,4,3.1,,95,Intel HD Graphics,No,
AMD,A6-3500,3,2.1,,65,Radeon HD 6530D,No,
Intel,Xeon E5-2640 V4,10,2.4,3.4,90,None,Yes,992.68
Intel,Core 2 Extreme QX6850,4,3,,130,None,No,904.00
Intel,Core i5-7500T,4,2.7,3.3,35,Intel HD Graphics 630,No,
Intel,Core i9-7920X,12,2.9,4.4,140,None,Yes,
Intel,Celeron G5905T,2,3.3,,35,Intel UHD Graphics 610,No,
Intel,Pentium E5500,2,2.8,,65,None,No,
Intel,Xeon E-2176G,6,3.7,4.7,80,Intel HD Graphics P630,Yes,403.01
Intel,Xeon E-2144G,4,3.6,4.5,71,Intel HD Graphics P630,Yes,303.58
Intel,Pentium E2180,2,2,,65,None,No,134.97
Intel,Core i3-9320,4,3.7,4.4,62,None,No,
Intel,Core i3-3245,2,3.4,,55,Intel HD Graphics 4000,Yes,152.86
Intel,Xeon E3-1245,4,3.3,,95,Intel HD Graphics,Yes,245.00
Intel,Core 2 Duo E6750,2,2.66,,65,None,No,87.99
Intel,Core i3-8350K,4,4,,91,Intel UHD Graphics 630,No,
Intel,Xeon E3-1240 V3,4,3.4,3.8,80,None,Yes,
Intel,Xeon E5-1660 V2,6,3.7,4,130,None,Yes,1798.95
Intel,Core 2 Duo E7200,2,2.53,,65,None,No,80.98
Intel,Core i7-6850K,6,3.6,3.8,140,None,Yes,
Intel,Xeon E5-1630 V3,4,3.7,3.8,140,None,Yes,
Intel,Core i3-4160,2,3.6,,54,Intel HD Graphics 4400,Yes,
Intel,Core i5-3550S,4,3,3.7,65,Intel HD Graphics 2500,No,
Intel,Core i3-2100T,2,2.5,,35,Intel HD Graphics 2000,Yes,
Intel,Core i3-2125,2,3.3,,65,Intel HD Graphics 3000,Yes,146.99
Intel,Pentium G4400T,2,2.9,,35,Intel HD Graphics 510,No,
Intel,Core i7-9800X,8,3.8,4.5,165,None,Yes,
Intel,Celeron E3400,2,2.6,,65,None,No,
Intel,Xeon E3-1245 V5,4,3.5,3.9,80,Intel HD Graphics P530,Yes,1039.51
AMD,Athlon II X4 630,4,2.8,,95,None,No,91.40
Intel,Xeon E3-1225 V2,4,3.2,,77,Intel HD Graphics P4000,No,247.50
AMD,Threadripper 2920X,12,3.5,4.3,180,None,Yes,
Intel,Celeron G540,2,2.5,,65,Intel HD Graphics,No,121.59
Intel,Core i5-750,4,2.66,,95,None,No,405.00
Intel,Xeon E5-2603 V3,6,1.6,,85,None,No,239.98
Intel,Xeon E5-2690,8,2.9,3.8,135,None,Yes,
AMD,Athlon II X3 435,3,2.9,,95,None,No,159.94
