brand,model,core_count,core_clock,boost_clock,tdp,integrated_graphics,smt,price
Intel,Core i7-3770,4,3.4,,77,Intel HD Graphics 4000,Yes,212.00
Intel,Core i5-7600K,4,3.8,4.2,91,Intel HD Graphics 630,No,319.75
Intel,Core i9-9900KS,8,4,5,127,Intel UHD Graphics 630,Yes,899.99
AMD,Athlon 200GE,2,3.2,,35,Radeon Vega 3,Yes,98.26
Intel,Core i7-9700KF,8,3.6,4.9,95,None,No,301.77
AMD,FX-6300,6,3.5,,95,None,No,221.64
Intel,Core i7-4770K,4,3.5,3.9,84,Intel HD Graphics 4600,Yes,250.00
Intel,Core i9-10850KA Avengers Limited Edition,10,3.6,5.2,125,Intel UHD Graphics 630,Yes,454.99
AMD,Ryzen 7 1700X,8,3.4,3.8,95,None,Yes,318.97
Intel,Core i5-3570K,4,3.4,,77,Intel HD Graphics 4000,No,114.52
Intel,Core i5-4460,4,3.2,3.4,84,Intel HD Graphics 4600,No,214.71
Intel,Celeron G5900,2,3.4,,58,Intel UHD Graphics 610,No,43.25
Intel,Core i9-10900X,10,3.7,4.7,165,None,Yes,562.00
Intel,Core i9-10900,10,2.8,5.2,65,Intel UHD Graphics 630,Yes,469.78
Intel,Pentium Gold G6400,2,4,,58,Intel UHD Graphics 610,Yes,
Intel,Core i5-7500,4,3.4,3.8,65,Intel HD Graphics 630,No,239.95
AMD,Ryzen 5 1600X,6,3.6,4,95,None,Yes,262.60
Intel,Core i5-10500,6,3.1,4.5,65,Intel UHD Graphics 630,Yes,239.99
Intel,Core i9-10900F,10,2.8,5.2,65,None,Yes,364.99
Intel,Core i5-6400,4,2.7,3.3,65,Intel HD Graphics 530,No,
Intel,Core i7-4790,4,3.6,4,84,Intel HD Graphics 4600,Yes,238.76
AMD,Ryzen 5 1400,4,3.2,3.4,65,None,Yes,243.52
AMD,Ryzen 5 1500X,4,3.5,3.7,65,None,Yes,300.99
Intel,Core i7-3770K,4,3.5,,77,Intel HD Graphics 4000,Yes,327.98
Intel,Core i9-9900,8,3.1,5,65,Intel UHD Graphics 630,Yes,349.99
Intel,Xeon E5-2650,8,2,2.8,95,None,Yes,57.00
Intel,Core i5-4590,4,3.3,3.7,84,Intel HD Graphics 4600,No,
Intel,Core i7-2600,4,3.4,,95,Intel HD Graphics 2000,Yes,204.58
Intel,Core i3-7100,2,3.9,,51,Intel HD Graphics 630,Yes,105.06
Intel,Pentium Gold G5420,2,3.8,,54,Intel UHD Graphics 610,Yes,62.39
AMD,Ryzen 5 3500,6,3.6,4.1,65,None,No,
Intel,Core i5-2400,4,3.1,,95,Intel HD Graphics 2000,No,203.95
AMD,Ryzen 5 2600,6,3.4,3.9,65,None,Yes,
Intel,Core i7-4770,4,3.4,3.9,84,Intel HD Graphics 4600,Yes,354.98
AMD,Ryzen 7 1800X,8,3.6,4,95,None,Yes,495.53
AMD,Ryzen 3 1200,4,3.1,3.4,65,None,No,
Intel,Xeon E5-2699 V4,22,2.2,3.6,145,None,Yes,1680.02
AMD,Athlon 220GE,2,3.4,,35,Radeon Vega 3,Yes,111.13
AMD,FX-9590,8,4.7,5,220,None,No,495.01
AMD,Threadripper 1900X,8,3.8,4,180,None,Yes,326.25
Intel,Core i5-2500K,4,3.3,,95,Intel HD Graphics 3000,No,176.47
Intel,Core i5-9500,6,3,4.4,65,Intel UHD Graphics 630,No,206.29
AMD,Athlon II X2 220,2,2.8,,65,None,No,26.73
