brand,model,chipset,memory,core_clock,boost_clock,color,length,price
Gigabyte,AORUS,GeForce GTX 1060 6GB,6,1632,1860,Black / Orange,280,599.99
Asus,AREZ STRIX OC Edition,Radeon RX VEGA 64,8,1247,1590,,298,1200.93
MSI,GAMING,GeForce GTX 950,2,1127,1317,Black / Red,270,
MSI,RX 580 8G,Radeon RX 580,8,1257,1340,Black / Red,243,
Zotac,GAMING,GeForce GTX 1660,6,1530,1785,Black,173.4,
Gainward,Phantom GS,GeForce RTX 3090,24,1400,1845,Black / Silver,304,
MSI,AERO ITX OC,GeForce GT 1030,2,1265,1518,Black,147,
Gigabyte,WINDFORCE,Radeon RX 460,4,1090,1212,Black / Orange,191,
Zotac,GAMING OC MINI,GeForce RTX 2070,8,1410,1650,Black / Silver,211,
Asus,STRIX,Radeon RX 560 - 1024,4,1175,1336,Black,194,325.00
MSI,AERO,GeForce GTX 1080,8,1632,1771,Black / Silver,267,
GALAX,SG,GeForce RTX 3090,24,1400,1695,Black,329,
Zotac,AMP MAXX,GeForce RTX 2080 Ti,11,1350,1665,Black,298,
ATI,100-505144,FireGL V7300,0.5,,,Red / White,,99.99
Gigabyte,WINDFORCE,GeForce GTX 770,4,1046,1085,Black,292,
MSI,TWIN FROZR,GeForce GTX 750 Ti,2,1085,1163,Black / Red,249,
EVGA,XC ULTRA BLACK GAMING,GeForce RTX 2060,6,1365,1680,Black,267.97,
PowerColor,Red Devil Golden Sample,Radeon RX 580,8,1257,1425,Black / Red,255,249.00
Asus,ROG STRIX,GeForce GTX 1070 Ti,8,1607,1721,Black,298,1499.11
PNY,Blower,GeForce RTX 2060 SUPER,8,1470,1650,Black,280.924,
MSI,DUKE,GeForce RTX 2080,8,1515,1845,Black,314,
EVGA,Founders Edition,GeForce GTX 1080,8,1607,1733,Black / Silver,267,
Gigabyte,MINI ITX,GeForce GTX 1650,4,1485,1665,Black,152,
Gigabyte,MINI ITX OC,GeForce GTX 1660,6,1785,1800,Black / Silver,170,
PowerColor,Red Dragon,Radeon RX 5700,8,1565,1750,Black,240,
EVGA,SC GAMING,GeForce RTX 2060,6,1365,1710,Black,189.89,
XFX,THICC II Pro,Radeon RX 5600 XT,6,1247,1620,Black,280,
EVGA,K|NGP|N GAMING,GeForce RTX 2080 Ti,11,1350,1770,Black,290.83,
MSI,GTX 960 2GD5T OC,GeForce GTX 960,2,1178,1241,Black / White,273,
Asus,DUAL OC,GeForce RTX 2080 Ti,11,1350,,Black,268,
Asus,STRIX GAMING,GeForce GTX 1650 SUPER,4,1530,1755,Black,243,
Asus,ROG STRIX,Radeon RX VEGA 56,8,1297,1573,,298,499.99
KFA2,EX,GeForce GTX 1650,4,1485,1695,Black,196,
EVGA,Superclocked,GeForce GTX 980,4,1241,1342,Black / Silver,267,495.00
Inno3D,Twin X2,GeForce RTX 2060,6,1365,1680,Black,196,
Palit,GameRock OC,GeForce RTX 3070,8,1500,,Silver / Black,304,
Gigabyte,AORUS,Radeon RX 580,4,1257,1380,Black / Orange,232,329.99
Gigabyte,WINDFORCE 2X,GeForce RTX 2070,8,1410,1620,Black,264.9,799.99
Gigabyte,TURBO,GeForce RTX 2080 Ti,11,1350,1545,Black / Silver,272,
Gainward,Ghost OC,GeForce GTX 1660 SUPER,6,1530,1830,Black,235,
PowerColor,Red Dragon,Radeon RX VEGA 56,8,1177,1478,Black / Red,305,
MSI,AERO,GeForce GTX 1070 Ti,8,1607,1683,Black / White,269,
EVGA,FTW3 ULTRA HYBRID GAMING,GeForce RTX 2080 Ti,11,1350,1755,Black / Clear,290.83,
Gigabyte,G1 ROCK,GeForce GTX 1070,8,1607,1797,Black,294,
PowerColor,AXRX 5600 ITX 6GBD6-2DH,Radeon RX 5600 XT,6,1247,1620,Black,175,
Asus,GTX1050TI-O4G-LP-BRK,GeForce GTX 1050 Ti,4,1303,1442,,182,199.94
Asus,STRIX-R9380X-4G-GAMING,Radeon R9 380X,4,970,,Black / Red,271,
HP,C2J92AA,Quadro K600,1,876,,Black / Green,160,51.38
EVGA,04G-P4-1972-KR,GeForce GTX 970,4,1140,1279,Black / Gray,241,475.00
MSI,TWIN FROZR,Radeon R9 280X,3,1000,1050,Black / Red,269,
PNY,VCQK4200-PB,Quadro K4200,4,771,,Black / Silver,241,219.00
MSI,GAMING,GeForce RTX 2070,8,1410,1620,Black,307,
MSI,GeForce GTX 1060 6GT V1,GeForce GTX 1060 6GB,6,1506,1708,Black / White,243,
Palit,GamingPro OC,GeForce RTX 2060,6,1365,1830,Black,235,
MSI,ARMOR,Radeon RX 570,8,1168,1244,Black / White,246,
XFX,THICC II Ultra,Radeon RX 5700 XT,8,1730,1980,Black,293,
PowerColor,Red Dragon,Radeon RX 5500 XT,8,1737,1845,Black,227,
Asus,DUAL EVO Advanced,GeForce RTX 2060 SUPER,8,1500,1695,Black,267,
Asus,GT620-1GD3-L,GeForce GT 620,1,700,,Black / Blue,168,
EVGA,K|NGP|N ACX 2.0+,GeForce GTX 980,4,1304,1418,Black / Silver,279,
Asus,R7240-2GD3-L,Radeon R7 240,2,730,,Black / Red,159,
Asus,STRIX GAMING,Radeon RX 590,8,1469,1565,Black,298,
Zotac,ZT-70605-10M,GeForce GTX 750 Ti,2,1033,1111,Black / Orange,145,
EVGA,FTW GAMING ACX 3.0,GeForce GTX 1050 Ti,4,1379,1493,Black,257,
MSI,Founders Edition,GeForce GTX 1070,8,1506,1683,Black / Silver,267,699.00
Palit,JetStream,GeForce RTX 2070 SUPER,8,1605,1815,Silver / Black,292,
Corsair,CB-9060011-WW,GeForce GTX 1080 Ti,11,1569,1683,Black / Gray,269,
Gigabyte,AORUS,GeForce RTX 2080 Ti,11,1545,1695,Black,290,
PowerColor,Red Devil,Radeon RX 5700,8,1610,1750,Black / Red,300,
Gigabyte,GV-N210D3-1GI REV6.0,GeForce 210,1,520,,Black / Blue,197,
PNY,VCGGTX10708PB,GeForce GTX 1070,8,1506,1683,Black / Red,267,599.00
XFX,RS,Radeon RX 570,4,1168,1286,Black / Red,243,
EVGA,Superclocked ACX,GeForce GTX 770,2,1111,,Black / Gold,267,
Zotac,AMP Extreme,GeForce GTX 1080,8,1771,1911,Black,325,
MSI,GAMING,GeForce GTX 1050,2,1354,1556,Red / Black,229,
PowerColor,Red Devil,Radeon RX 590,8,1469,1576,Black / Red,255,
MSI,GTX 1050 2GT OC,GeForce GTX 1050,2,1404,1518,Black / White,215,461.25
XFX,RX-VEGMLBFX6,Radeon RX VEGA 56,8,1156,1471,Black / Red,280,999.00
Zotac,AMP Extreme,GeForce RTX 2080 Ti,11,1545,1815,Black / Silver,324,
MSI,ARMOR OC,Radeon RX 480,4,1120,1291,Black / White,269,
PowerColor,Red Dragon,Radeon RX 580,4,1257,1350,Black / Red,255,
MSI,GAMING,GeForce GTX 1070,8,1506,1721,Red / Black,279,
GALAX,EX,GeForce RTX 3080,10,1440,1755,Black,330,
EVGA,iCX GAMING,GeForce GTX 1080 Ti,11,1480,1582,Silver / Black,270,899.99
Sapphire,Dual-X,Radeon R9 280X,3,850,1020,Blue / Silver,261,
EVGA,GAMING,GeForce RTX 2060,6,1365,1680,Black / Silver,189.89,
MSI,GAMING,Radeon R7 370,4,1020,1070,Black / Red,258,
Asus,ROG STRIX,Radeon RX 570,4,1168,1254,Black,240,
Asus,GTXTITAN-6GD5,GeForce GTX Titan,6,836,,Black / Silver,267,2060.86
Gigabyte,AORUS,GeForce RTX 2080,8,1710,1890,Black / Silver,290,
Gigabyte,GAMING,GeForce GTX 1060 6GB,6,1506,1847,Black / Orange,278,549.11
Zotac,AMP Extreme,GeForce RTX 2070,8,1410,1860,Black,308,999.11
EVGA,FTW3 HYBRID GAMING,GeForce RTX 2080 SUPER,8,1650,1845,Transparent / Black,290.83,
Asus,STRIX GAMING OC,GeForce GTX 1650,4,1485,1860,Black,242,
Gigabyte,GV-RXVEGA64GAMING OC-8GD,Radeon RX VEGA 64,8,1247,1560,Black / Orange,274,
MSI,DUKE,GeForce RTX 2070,8,1410,1755,Silver / Black,314,929.00
MSI,N730K-2GD5LP/OC,GeForce GT 730,2,1006,,Black,141,
Asus,TUF OC,GeForce GTX 1660 Ti,6,1500,1830,Black / Gray,205,
Asus,GTX660 TI-DC2O-2GD5,GeForce GTX 660 Ti,2,1028,,Black / Red,271,
MSI,GTX 980Ti 6GD5T OC,GeForce GTX 980 Ti,6,1102,1190,Black / White,277,
EVGA,FTW DT GAMING ACX 3.0,GeForce GTX 1070,8,1506,1683,Black / Silver,267,
Gigabyte,WINDFORCE,GeForce RTX 2070 SUPER,8,1605,1770,Black,280.35,
XFX,RX-580P427D6,Radeon RX 580,4,1366,1386,Black / Red,270,599.99
Asus,Expedition OC,GeForce GTX 1050 Ti,4,1341,1455,Black / Red,212,
Zotac,AMP Extreme Core,GeForce GTX 1080 Ti,11,1607,1721,Black / Silver,325,1202.49
EVGA,SSC GAMING,GeForce GTX 1060 3GB,3,1607,1835,Black / Silver,267,449.11
Gigabyte,AORUS,GeForce RTX 2070,8,1620,1770,Black / Silver,290,
MSI,VENTUS,GeForce RTX 2080,8,1515,1710,Silver / Black,268,
PNY,XLR8 Gaming Overclocked Edition,GeForce RTX 2060,6,1365,1725,Black,167.894,
PNY,XLR8,GeForce GTX 1080,8,1708,1848,Black / Red,292,1060.00
ASRock,Phantom Gaming D OC,Radeon RX 6800,16,1700,,Black / Silver,305,
Asus,RX560-O4G-EVO,Radeon RX 560 - 896,4,1149,1197,Black / Red,220,197.99
Zotac,AMP,GeForce GTX 1060 3GB,3,1582,1797,Black / Silver,206,
MSI,GTX 970 4GD5T OC,GeForce GTX 970,4,1102,1241,Black / Blue,275,
EVGA,FTW ACX 2.0+,GeForce GTX 980 Ti,6,1190,1291,Black / Gold,267,
KFA2,EX,GeForce RTX 2060 SUPER,8,1470,1665,Black,295,
EVGA,CLASSIFIED GAMING ACX 3.0,GeForce GTX 1080,8,1721,1860,Black / Red,267,784.97
EVGA,Black,GeForce GTX 1070,8,1506,1683,Black / Silver,266.7,
PowerColor,PCS+,Radeon R9 390,8,1010,,Black / Silver,305,499.00
MSI,GAMING,Radeon RX 5700 XT,8,1630,1905,Silver / Black,297,
Palit,StormX OC,GeForce GTX 1650,4,1485,1725,Black,145,
Asus,STRIX OC,GeForce GTX 1060 6GB,6,1569,1811,Black / Red,218,
GALAX,EX White,GeForce RTX 3070,8,1500,1785,White / Black,299,
Gigabyte,GV-N670OC-2GD,GeForce GTX 670,2,980,,Black / Blue,279,839.59
EVGA,XC BLACK EDITION GAMING,GeForce RTX 2070,8,1410,1620,Black / Clear,269.83,
PNY,VCQM4000-PB,Quadro M4000,8,,,Black / Green,241,
Asus,STRIX-R9390-DC3OC-8GD5-GAMING,Radeon R9 390,8,1050,,Black / Red,300,
PowerColor,Devil 13,Radeon R9 390X2,16,1000,,Black / Red,305,
Palit,StormX OC,GeForce GTX 1660 SUPER,6,1530,1830,,168,
PNY,VCGGTX10708XPB-OC-BB,GeForce GTX 1070,8,1518,1708,,267,599.00
GALAX,30NPH4HVQ4ST,GeForce GT 1030,2,1227,1468,Black / Blue,180,
Asus,STRIX-GTX980TI-DC3-6GD5-GAMING,GeForce GTX 980 Ti,6,1000,1075,Black / Red,305,
Palit,GameRock,GeForce RTX 3090,24,1400,,Silver / Black,304,
Asus,710-1-SL,GeForce GT 710,1,954,,Blue / Silver,134,
PNY,VCQP5000-PB,Quadro P5000,16,1607,1733,Black / Green,,1848.99
Gigabyte,XTREME,GeForce RTX 2070,8,1620,1815,Black / Silver,290,
EVGA,02G-P4-3751-KR,GeForce GTX 750 Ti,2,1020,1085,Black / Silver,170,
MSI,RADEON RX 460 2G OC,Radeon RX 460,2,1090,1210,Black / White,172,
Palit,StormX,GeForce GTX 1660 Ti,6,1500,1770,Black,168,
PNY,Founders Edition,GeForce GTX 1080,8,1607,1733,Black / Silver,267,
Palit,Dual,GeForce GTX 1070,8,1506,1683,Black,252,
XFX,Black Edition,Radeon RX 470,4,926,1256,Black,240,
EVGA,Founders Edition,GeForce GTX 1080 Ti,11,1480,1582,Black / Silver,267,
MSI,GT LP,GeForce GTX 1650,4,1485,1665,Black,168,
Gigabyte,WINDFORCE OC,GeForce RTX 2080 Ti,11,1350,,Black,281,
Sapphire,PULSE ITX,Radeon RX 570,4,1168,1244,Black,170,
EVGA,Superclocked,GeForce GTX 960,4,1216,1279,Black / Silver,173,
AMD,100-505956,Radeon Pro WX 8200,8,1200,1530,Blue,267,967.17
VisionTek,900358,Radeon HD 5450,1,,,,,47.99
EVGA,FTW+ GAMING,GeForce GTX 1060 3GB,3,1632,1860,Black,267,358.00
Asus,STRIX-GTX950-DC2OC-2GD5-GAMING,GeForce GTX 950,2,1024,1140,Black / Red,218,598.05
Sapphire,Dual-X,Radeon R9 270,2,920,945,Black / Silver,228,
Inno3D,JET,GeForce RTX 2070 SUPER,8,1605,1770,Black / White,268,
Asus,DirectCU II,GeForce GTX 780,3,889,941,Black / Red,287,
Zotac,AMP Extreme,GeForce GTX 980 Ti,6,1253,1355,Black / Silver,329,
Zotac,GAMING,GeForce RTX 2080 SUPER,8,1650,1815,Black,268,
EVGA,FTW GAMING,GeForce GTX 1050,2,1442,1556,Black,267,
EVGA,FTW2 GAMING iCX,GeForce GTX 1070,8,1607,1797,Black / Gray,267,
PNY,VCGGTX1050T4XGPB-OC,GeForce GTX 1050 Ti,4,1366,1480,Black / Red,245,
EVGA,ACX 2.0,GeForce GTX 1050,2,1354,1455,Black,145,
MSI,N750TI-2GD5/OC,GeForce GTX 750 Ti,2,1059,1137,Black,212,
MSI,GAMING TRIO,GeForce RTX 2080 SUPER,8,1650,1815,Silver / Black,328,
GALAX,OC,GeForce GTX 1050 Ti,4,1303,1417,Black,196,
MSI,AERO ITX OC,Radeon RX 560 - 1024,2,1175,1196,Black / Silver,155,
Palit,Super JetStream,GeForce GTX 1060 6GB,6,1620,1847,Black / Silver,248,
MSI,GAMING 100ME,GeForce GTX 970,4,1140,1279,Black / Green,269,
EVGA,FTW+ ACX 2.0+,GeForce GTX 970,4,1216,1367,Black / Blue,257,
Gigabyte,GAMING,Radeon RX 480,4,1120,1290,Black / Orange,232,
MSI,AERO ITX,GeForce RTX 2070,8,1410,1620,Black / White,174,
ASRock,Radeon RX 5700 8G,Radeon RX 5700,8,1465,1765,,280.85,
Sapphire,Tri-X,Radeon R9 290X,4,772,1040,Black / Orange,305,
Sapphire,Dual-X,Radeon R9 280,3,850,940,Black / Silver,262,
Zotac,AMP,GeForce GTX 1080,8,1771,1911,Black,325,
XFX,RX-57XL8MFGR,Radeon RX 5700,8,1465,1725,Silver,266.7,
EVGA,06G-P4-2790-KR,GeForce GTX Titan,6,836,,Black / Silver,267,685.00
AMD,100-505724,FirePro W7100,8,824,,Black / Red,279,489.98
AMD,FirePro W9100,FirePro W9100,16,930,,Black / Red,275,1350.00
EVGA,01G-P3-1561-KR,GeForce GTX 560 Ti,1,850,,Black / Yellow,228,265.00
XFX,RS,Radeon RX 480,8,1120,1288,Black,240,
Gigabyte,D5X,GeForce GTX 1080,8,1607,1771,Black / Orange,280,
Asus,STRIX GAMING Advanced,GeForce RTX 2070,8,1410,1680,Black,300.5,
EVGA,Black,GeForce RTX 2080,8,1515,1710,Clear / Black,269.2,
Gainward,Phantom GS,GeForce RTX 2070 SUPER,8,1605,1815,Black / Silver,292,
Asus,DUAL,GeForce RTX 2060,6,1365,1680,Black / Silver,270,
Asus,STRIX GAMING Advanced,GeForce GTX 1660 Ti,6,1500,1830,Black,301,
Palit,GamingPro,GeForce GTX 1660 SUPER,6,1530,1785,,235,
Gigabyte,Founders Edition,GeForce GTX 1080 Ti,11,1480,1582,Black / Silver,267,
PNY,VCQK2200-PB,Quadro K2200,4,1046,,Black / Green,202,137.00
Asus,RX550-4G,Radeon RX 550 - 512,4,1100,1183,Black / Red,182,
MSI,TWIN FROZR,GeForce GTX 770,2,1098,,Black / Red,260,
PowerColor,AXRX VEGA 56 8GBHBM2-3DH,Radeon RX VEGA 56,8,1156,1471,Black / Red,280,589.99
PNY,VCGGTX6501XPB,GeForce GTX 650,1,1058,,Black,,276.58
MSI,R9 290 4GD5,Radeon R9 290,4,947,,Black / Red,276,
ASRock,Challenger Pro OC,Radeon RX 6800,16,1700,,Black / Silver,303,
Gigabyte,GV-N660OC-2GD,GeForce GTX 660,2,1033,,Black / Blue,256,486.59
Asus,Founders Edition,GeForce GTX 1080 Ti,11,1480,1582,Black / Silver,267,
MSI,GAMING,Radeon RX 5700 XT,8,1630,1905,Black / Silver,297,
Sapphire,21291-01-40G,Radeon VII,16,1400,1750,Silver,268,
PNY,VCGGT10302PB,GeForce GT 1030,2,1227,1468,Black / Silver,,97.94
Gigabyte,TURBO,GeForce RTX 2080 SUPER,8,1650,1815,Black,272,
EVGA,01G-P3-1556-KR,GeForce GTX 550 Ti,1,951,,Black / Green,209,
AMD,310455937500,Radeon HD 6770,1,,,,,
Gigabyte,Radeon RX VEGA 56 8G,Radeon RX VEGA 56,8,1156,1471,Black / Red,280,1099.00
Asus,TUF Gaming X3 OC,Radeon RX 5700,8,1565,1750,Black,269,
MSI,DUKE,GeForce RTX 2080 Ti,11,1350,1665,Black,314,
Gigabyte,MINI ITX,GeForce GTX 1080,8,1607,1771,,169,
Gigabyte,GAMING,Radeon RX 470,4,926,1230,Black / Orange,232,
MSI,ARMOR,Radeon RX 580,4,1257,1340,Black / White,269,
Asus,TURBO-GTX960-OC-2GD5,GeForce GTX 960,2,1190,1253,White / Red,264,
Zotac,AMP Extreme,GeForce RTX 2080 SUPER,8,1650,1875,Black,324,
MSI,RX 5700 XT 8G,Radeon RX 5700 XT,8,1605,1905,Silver / Black,270,
Gigabyte,GV-N960WF2OC-2GD,GeForce GTX 960,2,1216,1279,Black,257,
Gigabyte,WINDFORCE,Radeon R9 270X,2,1000,,Black,290,
PNY,XLR8 Gaming Overclocked Edition,GeForce GTX 1060 6GB,6,1544,1759,Black,252,479.00
MSI,GTX 960 2GD5,GeForce GTX 960,2,1127,1178,Black,242,
EVGA,FTW+ GAMING,GeForce GTX 1060 6GB,6,1632,1860,Black,267,
MSI,RADEON RX VEGA 64 8G,Radeon RX VEGA 64,8,1247,1546,Black / Red,280,
EVGA,ACX 3.0,GeForce GTX 1080,8,1607,1733,Black / Silver,267,729.00
EVGA,02G-P4-6332-KR,GeForce GT 1030,2,1290,1544,,145,92.38
EVGA,Superclocked,GeForce GTX 750,1,1215,1294,Black / Silver,170,
Gigabyte,AORUS WATERFORCE,GeForce GTX 1080 Ti,11,1632,1746,Black / Orange,267,
PNY,Blower,GeForce GTX 1080 Ti,11,1480,1582,Black / White,,
EVGA,XC ULTRA BLACK GAMING,GeForce GTX 1660 Ti,6,1500,1770,Black,267.97,
Inno3D,iChill X4,GeForce GTX 1070,8,1620,1822,Silver / Black,300,
MSI,AERO ITX OC,Radeon RX 550 - 512,4,1183,1203,Black / Silver,155,199.42
Gigabyte,GV-N98TG1 GAMING-6GD,GeForce GTX 980 Ti,6,1190,1291,Black / Silver,295,
Gigabyte,AORUS XTREME,GeForce RTX 2080,8,1515,1890,Black,290,
Gigabyte,WINDFORCE,GeForce GTX 760,2,1085,,Black,294,
PNY,VCGGTX9704R2XPB,GeForce GTX 970,4,1050,1178,Black,245,
Asus,Turbo,GeForce RTX 2070,8,1410,1650,Black / Silver,268,
MSI,AERO ITX OC,GeForce GTX 1660 Ti,6,1500,1830,Black / White,178,
EVGA,ACX 2.0,GeForce GTX 970,4,1050,1178,Black / Blue,241,
Asus,GTX950-2G,GeForce GTX 950 75W,2,1026,1228,White / Blue,210,
EVGA,02G-P4-2680-KR,GeForce GTX 680,2,1006,,Black,254,
PNY,VCQM6000-24GB-PB,Quadro M6000,24,988,1114,Black / Green,267,
Sapphire,PULSE,Radeon RX 570,8,1168,1284,Black,230,
PNY,VCQ400-PB,Quadro 400,0.5,,,Black / Green,,41.60
Asus,GTX690-4GD5,GeForce GTX 690,4,915,,Black / Silver,279,1499.59
EVGA,12G-P4-2990-KR,GeForce GTX Titan X,12,1000,1075,Black / Silver,282,1150.00
Asus,DUAL EVO OC,GeForce RTX 2070,8,1410,1740,Black,267,
PNY,Blower,GeForce RTX 2070 SUPER,8,1605,1770,Black,280.924,
Gigabyte,WINDFORCE,GeForce GTX 1050,2,1354,1493,Black / Orange,229,
Sapphire,NITRO,Radeon RX 460,4,1175,1250,Black,221,
Gigabyte,MINI ITX OC,GeForce GTX 1060 6GB,6,1531,1771,Black / Orange,169,
MSI,GTX 970 4GD5 OC,GeForce GTX 970,4,1076,1216,Black / Blue,269,
EVGA,SC2 Gaming,GeForce GTX 1080,8,1708,1847,Silver / Black,267,
Asus,Founders Edition,GeForce GTX 1070,8,1506,1683,Black / Silver,267,
PNY,XLR8 Gaming Overclocked Edition,GeForce RTX 2070,8,1410,1710,Black,234.95,
EVGA,FTW ACX 2.0,GeForce GTX 950,2,1203,1405,Black,257,
Sapphire,PULSE,Radeon RX 560 - 1024,4,1175,1300,Black / Red,210,
Gigabyte,WINDFORCE 3X,GeForce GTX 970,4,1051,1203,Black,297,
Asus,MATRIX,GeForce RTX 2080 Ti,11,1350,1815,Black / Silver,310,
ASRock,Phantom Gaming,Radeon RX 550 - 512,2,1183,,Black / Silver,170,
Gigabyte,Radeon RX VEGA 64,Radeon RX VEGA 64,8,1247,1546,Black / Red,280,
MSI,AERO,GeForce RTX 2070,8,1410,1620,Black / Green,268,
KFA2,SG,GeForce RTX 3090,24,1400,1710,Black,329,
Galaxy,22TGE8HX2IUN,GeForce GT 220,1,625,,Black / Blue,,
EVGA,Superclocked ACX,GeForce GTX 760,2,1072,,Black / Silver,241,
EVGA,04G-P4-2980-KR,GeForce GTX 980,4,1126,1216,Black / Silver,267,
Gigabyte,GV-N960OC-4GD,GeForce GTX 960,4,1216,1279,Black / Blue,181,
Asus,DUAL,Radeon RX 480,4,1120,1320,White / Black,242,
Gigabyte,WINDFORCE 2X,Radeon R9 380,4,970,,Black,221,
Asus,Phoenix Fan,Radeon RX 550 - 640,4,1071,,Black,192,
ATI,FirePro S9000,FirePro S9000,6,900,,Black / Red,267,149.99
VisionTek,900614,Radeon HD 7750,2,,,Black / Red,,206.20
Asus,Turbo,GeForce RTX 2080,8,1515,,Black,268,
XFX,XXX OC,Radeon RX 480,8,1120,1288,Black / Red,254,
Asus,RADEONVII-16G,Radeon VII,16,1400,1750,Silver,267,
PowerColor,AXRX 5700XT 8GBD6-M3DH,Radeon RX 5700 XT,8,1605,1905,Silver,270,
EVGA,04G-P4-3673-KR,GeForce GTX 670,4,1006,,Black / Silver,254,603.99
Palit,Super JetStream,GeForce GTX 1070,8,1632,1835,Black / Gray,285,1043.57
EVGA,SC2 Gaming iCX,GeForce GTX 1070,8,1594,1784,White / Black,267,
XFX,XXX,Radeon RX 570,4,1264,1284,Black / Red,243,285.99
Asus,DUAL EVO OC,GeForce RTX 2080 SUPER,8,1650,1860,Black,267,
Inno3D,Twin X2 OC,GeForce RTX 2070 SUPER,8,1605,1785,Black,268,
Gigabyte,GV-RXVEGA56GAMING OC-8GD,Radeon RX VEGA 56,8,1156,1501,Black / Orange,274,
Inno3D,Twin X2 OC RGB,GeForce RTX 2060 SUPER,8,1470,1665,Black,220,
XFX,DD,Radeon R9 280X,3,850,1000,Black / Silver,295,
EVGA,XC ULTRA GAMING,GeForce GTX 1650,4,1485,1875,Black,202.1,
Palit,GamingPro,GeForce RTX 2060,6,1365,1680,Black,235,
Gigabyte,AORUS XTREME,GeForce RTX 2060,6,1365,1845,Black / Orange,290,
EVGA,Superclocked,GeForce GTX 780 Ti,3,980,1046,Black / Silver,266,
Zotac,ZT-P10500E-10L,GeForce GTX 1050,2,1354,1455,Black,160,
NVIDIA,VCQK4000-PB,Quadro K4000,3,810,,Black,,
XFX,RX-480M4BFA6,Radeon RX 480,4,1120,1266,Black / Red,254,
GALAX,EX SNPR,GeForce GTX 1070 Ti,8,1607,1683,White,296,
GALAX,EX White,GeForce GTX 1660,6,1530,1845,White,245,
EVGA,XC ULTRA BLACK GAMING,GeForce GTX 1650,4,1485,1665,Black,202.1,
PNY,Blower,GeForce RTX 2080 SUPER,8,1650,1815,Black,281,
ASRock,Phantom Gaming X,Radeon RX 580,8,1257,1380,Black / Silver,278.81,
Inno3D,Twin X2 OC,GeForce GTX 1650,4,1485,1710,Black,196,
MSI,GAMING,Radeon R7 370,2,1000,1050,Black / Red,258,
Zotac,ZT-P10510E-10L,GeForce GTX 1050 Ti,4,1290,1392,Black,160,
MSI,TWIN FROZR,Radeon R9 270X,2,1030,1120,Black / Red,260,
Sapphire,100366-2L,Radeon R7 260X,2,1050,,Black / Silver,177,
EVGA,FTW ACX 2.0+,GeForce GTX 960,4,1304,1367,Black / Silver,257,
MSI,ARMOR,GeForce GTX 1060 6GB,6,1506,1708,Black / White,279,
MSI,RX 550 2GT LP OC,Radeon RX 550 - 512,2,1100,1203,Black,170,
EVGA,02G-P4-3662-KR,GeForce GTX 660 Ti,2,967,,Black / Silver,241,673.26
Gigabyte,WINDFORCE,GeForce GTX 760,4,1085,1150,Black,292,795.00
MSI,TWIN FROZR,GeForce GTX 980,4,1190,1291,Black / Red,279,
Gigabyte,GV-N960WF2OC-4GD,GeForce GTX 960,4,1216,1279,Black,257,
Asus,STRIX-GTX750TI-DC2OC-4GD5,GeForce GTX 750 Ti,4,1124,1202,Black / Red,196,
Sapphire,21260-00-20G,Radeon RX 480,8,1120,1266,Black / Red,242,
PowerColor,Red Devil,Radeon RX 480,8,1120,1330,Black / Red,310,
MSI,GTX 1050 2GT LP,GeForce GTX 1050,2,1354,1455,Black,182,
Zotac,GAMING Triple Fan,GeForce RTX 2080 Ti,11,1350,1545,Black,308,
Gigabyte,GAMING MI,Radeon RX 570,4,1244,1255,Black / Orange,232,
EVGA,K|NGP|N GAMING,GeForce GTX 1080 Ti,11,1582,1695,Black,300,1399.00
Asus,Expedition,Radeon RX 570,4,1168,1254,Black / Red,240,487.46
Zotac,GAMING AMP,GeForce RTX 2080 SUPER,8,1650,1845,Black,298,
Asus,STRIX,GeForce GTX 1080,8,1607,1733,Black,298,
MSI,R7 250 2GD3 OC,Radeon R7 250,2,1050,1100,Black / Blue,110,
Asus,GTXTITANX-12GD5,GeForce GTX Titan X,12,1075,1000,Black / Silver,267,
MSI,GAMING X+,GeForce GTX 1060 6GB,6,1594,1809,Black / Red,277,
Zotac,GAMING AMP,GeForce RTX 2070,8,1410,1740,Black,268,
EVGA,XC BLACK EDITION GAMING,GeForce RTX 2080,8,1515,1740,Black / Clear,269.83,
KFA2,SG,GeForce RTX 3080,10,1440,1725,Black,329,
EVGA,XC BLACK GAMING,GeForce RTX 2070,8,1410,1620,Black,269.2,
Sapphire,11188-22-20G,Radeon HD 6950,2,,,,,
MSI,GAMING,Radeon R9 380,2,970,1000,Black / Red,268,335.00
Gigabyte,GAMING,Radeon RX 560 - 1024,4,1175,1300,Black / Orange,190,
Asus,GT730-SL-2GD3-BRK,GeForce GT 730,2,902,,Black,137,288.11
Gigabyte,GV-N970IXOC-4GD,GeForce GTX 970,4,1076,1216,Black,170,
MSI,R9 290X 4GD5,Radeon R9 290X,4,772,,Black / Red,292,
MSI,GAMING X,Radeon RX 470,8,926,1254,Black / Red,276,
Gigabyte,AORUS XTREME,GeForce GTX 1060 6GB,6,1645,1873,Black / Orange,281,
MSI,GAMING,GeForce GTX 1080 Ti,11,1506,1620,Black / Red,290,
EVGA,01G-P4-2751-KR,GeForce GTX 750,1,1020,1085,Black / White,170,289.99
Gigabyte,AORUS,GeForce GTX 1070 Ti,8,1683,1771,Black / Orange,280,
MSI,SEA HAWK X,GeForce GTX 1080,8,1708,1847,Black / Silver,270,
