brand,model,chipset,memory,core_clock,boost_clock,color,length,price
PowerColor,Red Devil,Radeon RX 5700 XT,8,1605,1905,Black / Red,300,636.51
EVGA,KO ULTRA GAMING,GeForce RTX 2060,6,1365,1755,Black,202.1,
EVGA,SC ULTRA GAMING,GeForce GTX 1660 Ti,6,1500,1845,Black / Silver,202.1,356.94
Gigabyte,WINDFORCE OC,GeForce GTX 1650,4,1485,1710,Black / Silver,191,399.99
Sapphire,PULSE,Radeon RX 5700 XT,8,1670,1925,Black / Red,254,490.27
EVGA,XC3 BLACK GAMING,GeForce RTX 3070,8,1500,1725,Black / Silver,285.242,
Asus,TUF GAMING OC,GeForce RTX 3070,8,1500,,Black,299.9,1400.00
ASRock,Phantom Gaming D OC,Radeon RX 5700 XT,8,1690,1945,Black / Red,286.91,
MSI,GAMING X,GeForce GTX 1660,6,1530,1860,Black,247,
Zotac,GAMING Twin Edge,GeForce RTX 3070,8,1500,1725,Black,231.9,
MSI,MECH OC,Radeon RX 5600 XT,6,1185,1600,Black / Silver,231,367.94
Asus,Phoenix Fan,GeForce RTX 2060,6,1365,1710,Black / White,177,
XFX,THICC III Ultra,Radeon RX 5700 XT,8,1810,2025,Black / White,315,529.99
Gigabyte,GAMING OC 3X,GeForce RTX 2070 SUPER,8,1605,1815,Black,286.5,989.99
Gigabyte,GAMING OC,Radeon RX 5600 XT,6,1247,1620,Black / Silver,279.85,
MSI,VENTUS 3X OC,GeForce RTX 3080,10,1440,,Black,305,
PNY,XLR8 Gaming EPIC-X RGB,GeForce RTX 3090,24,1395,1695,Black,293.88,1609.94
EVGA,SC ULTRA GAMING,GeForce GTX 1650 SUPER,4,1530,1755,Black,202.1,242.45
Asus,DUAL,GeForce RTX 3070,8,1500,1755,Black,267,
Gigabyte,WINDFORCE OC,GeForce RTX 2060 SUPER,8,1470,1680,Black,265,
MSI,GAMING X,GeForce GTX 1050 Ti,4,1290,1493,Black / Red,229,134.45
EVGA,XC3 ULTRA GAMING,GeForce RTX 3080,10,1440,1755,Black,285.37,
Asus,STRIX GAMING OC,GeForce RTX 2080 Ti,11,1350,1665,Black,304.7,2400.00
Gigabyte,EAGLE,GeForce RTX 3070,8,1500,1725,Black / Silver,282,
Gigabyte,GAMING OC,GeForce RTX 3080,10,1440,1800,Black / Gray,320,
MSI,D6 GAMING X,GeForce GTX 1650,4,1485,1710,Black,245,165.99
Gigabyte,AORUS,Radeon RX 5700 XT,8,1770,2010,Black,290,994.99
Asus,DUAL EVO OC,GeForce RTX 2070 SUPER,8,1635,1845,Black,267,
