brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
Asus,ROG Swift PG65UQ,64.5,3840 x 2160,144,4,VA,16:9,4499.00
Asus,ROG SWIFT PG35VQ,35.0,3440 x 1440,200,2,VA,21:9,3189.95
Asus,ROG SWIFT PG27UQ,27.0,3840 x 2160,144,4,IPS,16:9,
Acer,PREDATOR X35 bmiphzx,35.0,3440 x 1440,200,2,VA,21:9,2428.98
HP,OMEN X Emperium 65,65.0,3840 x 2160,144,4,VA,16:9,3068.46
Acer,Predator X27 bmiiphzx,27.0,3840 x 2160,144,4,IPS,16:9,
