brand,model,form_factor,eff_rating,wattage,modular,color,price
Silverstone,Essential,ATX,80+ Bronze,650,No,Black,
Corsair,CXM,ATX,80+ Bronze,430,Semi,,178.28
GameMax,GP,ATX,80+ Bronze,500,No,Black,
Thermaltake,Toughpower GX1 RGB,ATX,80+ Gold,600,No,Black,81.99
SeaSonic,PRIME Ultra Gold,ATX,80+ Gold,1000,Full,Black,
Thermaltake,Litepower,ATX,,550,No,,
Thermaltake,Toughpower GX1,ATX,80+ Gold,500,No,Black,73.20
Corsair,AX,ATX,80+ Platinum,760,Full,,
In Win,PB,ATX,80+ Gold,650,Full,,
Rosewill,ARC 550,ATX,80+ Bronze,550,No,,48.99
SeaSonic,FOCUS,ATX,80+ Gold,550,Semi,Black,89.99
Rosewill,Glacier 500M,ATX,80+ Bronze,500,Semi,,59.99
Super Flower,LeadexIIIARGB,ATX,80+ Gold,750,Full,White,169.99
Corsair,AX,ATX,80+ Platinum,860,Full,,
SeaSonic,M12II,ATX,80+ Bronze,620,No,,
Thermaltake,Smart BX1,ATX,80+ Bronze,550,No,Black,76.94
Corsair,TXM,ATX,80+ Bronze,650,Semi,,
Cooler Master,MWEWhiteV2230V,ATX,80+,550,No,Black,
Phanteks,Revolt Pro,ATX,80+ Gold,850,Full,Silver / Black,
Antec,VP PLUS,ATX,80+,650,No,,67.98
Enermax,Revolution D.F.,ATX,80+ Gold,750,Full,Black / Silver,128.00
be quiet!,StraightPower11,ATX,80+ Gold,450,Full,,187.98
Antec,VP PLUS,ATX,80+,550,No,,54.99
Thermaltake,Toughpower GF1 ARGB,ATX,80+ Gold,850,Full,,189.99
Silverstone,SST-FX350-G,Flex ATX,80+ Gold,350,No,Black,96.62
Silverstone,Strider Titanium,ATX,80+ Titanium,1300,Full,Black / Blue,358.98
Apex,AL-8250SFX,SFX,,250,No,,29.98
Cooler Master,MWEBronze,ATX,80+ Bronze,450,No,Black,79.98
Rosewill,RBR1000-M,ATX,80+ Bronze,1000,Semi,,104.99
be quiet!,DarkPowerPro11,ATX,80+ Platinum,750,Semi,,504.52
Thermaltake,TR2 S,ATX,80+,550,No,,
GameMax,GM,ATX,80+ Bronze,500,Semi,Black,
Thermaltake,Toughpower GX1 RGB,ATX,80+ Gold,500,No,Black,79.99
ADATA,XPG CORE Reactor,ATX,80+ Gold,650,Full,Black,129.99
SeaSonic,PRIME Ultra Gold,ATX,80+ Gold,750,Full,Black,156.98
EVGA,100-B1-0700-K1,ATX,80+ Bronze,700,No,,189.99
SeaSonic,M12II EVO,ATX,80+ Bronze,520,Full,Black,
Rosewill,PHOTON-550,ATX,80+ Gold,550,Full,,89.99
SeaSonic,PRIME TX,ATX,80+ Titanium,850,Full,Black,602.99
Rosewill,HIVE,ATX,80+ Bronze,850,Semi,,99.99
Corsair,RMi,ATX,80+ Gold,650,Full,,
GameMax,RGB Rainbow,ATX,80+ Gold,550,Full,Black,
Thermaltake,Toughpower iRGB PLUS Platinum,ATX,80+ Platinum,1200,Full,Black,590.16
Thermaltake,Smart BX1 RGB,ATX,80+ Bronze,750,No,Black,94.99
Silverstone,Strider Platinum S,ATX,80+ Platinum,1200,Full,Black,273.26
Rosewill,HIVE,ATX,80+ Bronze,750,Semi,,109.99
EVGA,G2,ATX,80+ Gold,1000,Full,,
KOLINK,KL-SFX350,SFX,80+ Bronze,350,No,Black / Green,
Cooler Master,MWE,ATX,80+,500,No,Black,
CoolMax,ZX-500,ATX,80+,500,No,,45.78
SHARKOON,WPM Gold Zero,ATX,80+ Gold,550,Semi,Black,
BitFenix,Whisper M,ATX,80+ Gold,750,Full,,
Cooler Master,MasterWattLiteFullRange,ATX,80+,500,No,,104.85
EVGA,B3,ATX,80+ Bronze,850,Full,,
Corsair,CX,ATX,80+ Bronze,430,No,,
Rosewill,PHOTON-650,ATX,80+ Gold,650,Full,,84.99
Corsair,VS,ATX,,450,No,,
Thermaltake,Toughpower PF1,ATX,80+ Platinum,850,Full,Black,179.99
Gigabyte,PB500,ATX,80+ Bronze,500,No,,
Cooler Master,V650,ATX,80+ Gold,650,Full,,
Thermaltake,Toughpower GX1 RGB,ATX,80+ Gold,700,No,Black,
be quiet!,StraightPower11,ATX,80+ Platinum,1000,Full,Black,
Corsair,TX,ATX,80+ Bronze,650,No,,
Corsair,TX,ATX,80+ Bronze,750,No,,
Azza,PSAZ-650B14,ATX,,650,No,,
Corsair,AXi,ATX,80+ Platinum,860,Full,,
Silverstone,Strider Platinum,ATX,80+ Platinum,850,Full,,163.57
Rosewill,HIVE,ATX,80+ Bronze,550,Semi,,69.99
SeaSonic,M12II,ATX,80+ Bronze,520,No,,
Silverstone,Strider Platinum S,ATX,80+ Platinum,1000,Full,Black,211.63
Corsair,RM,ATX,80+ Gold,1000,Full,,
be quiet!,StraightPower11,ATX,80+ Gold,1000,Full,,300.09
Rosewill,PHOTON-850,ATX,80+ Gold,850,Full,,139.99
Thermaltake,Litepower,ATX,,350,No,,
EVGA,SuperNOVA,ATX,80+ Gold,750,Full,,
Silverstone,Strider,ATX,80+ Gold,1500,Full,,349.99
Cooler Master,V1000,ATX,80+ Gold,1000,Full,,
be quiet!,DarkPowerPro11,ATX,80+ Platinum,650,Semi,,159.90
Deepcool,DA-N,ATX,80+ Bronze,600,No,Black,
CoolMax,ZX-700,ATX,80+,700,No,,56.45
Corsair,TXM,ATX,80+ Bronze,550,Semi,,231.59
Antec,High Current Gamer Gold,ATX,80+ Gold,850,Full,Black,205.00
GameMax,RGB Rainbow,ATX,80+ Gold,1050,Full,Black,
Corsair,RMx White,ATX,80+ Gold,750,Full,,267.99
Antec,NeoECO Gold,ATX,80+ Gold,550,Semi,Black,
Corsair,CSM,ATX,80+ Gold,750,Semi,,600.00
Cooler Master,SilentProGold,ATX,80+ Gold,800,Semi,,
Gigabyte,PW400,ATX,80+,400,No,Black,
Apex,AG,ATX,80+ Gold,750,Full,Black,
SeaSonic,PRIME Ultra Titanium,ATX,80+ Titanium,650,Full,,
be quiet!,SFXLPower,SFX,80+ Gold,500,Full,,
Rosewill,Capstone,ATX,80+ Gold,550,Semi,,82.99
Corsair,Vengeance,ATX,80+ Silver,750,Semi,,
Corsair,HX,ATX,80+ Gold,850,Semi,,
Corsair,VS,ATX,,550,No,,
Thermaltake,TR2 S,ATX,80+,650,No,,
SeaSonic,PRIME SNOWSILENT,ATX,80+ Titanium,750,Full,White,
Deepcool,DA-N,ATX,80+ Bronze,700,No,Black,
Corsair,AX,ATX,80+ Gold,850,Full,,
Thermaltake,TOUGHPOWER PF1 ARGB,ATX,80+ Platinum,1200,Full,,339.99
EVGA,B3,ATX,80+ Bronze,550,Full,,119.99
BitFenix,Whisper M,ATX,80+ Gold,650,Full,,
Rosewill,Glacier 600M,ATX,80+ Bronze,600,Semi,,69.99
Aerocool,AER-P7-P650W,ATX,80+ Platinum,650,Full,,
SeaSonic,PRIME Platinum,ATX,80+ Platinum,850,Full,,
Enermax,MAXREVO,ATX,80+ Gold,1800,Full,Black,
Silverstone,Strider Titanium,ATX,80+ Titanium,700,Full,,187.12
Cooler Master,V1200,ATX,80+ Platinum,1200,Full,,
be quiet!,SystemPowerU9,ATX,80+ Bronze,600,No,Black,
SHARKOON,SilentStorm Cool Zero,ATX,80+ Gold,750,Full,Black,
Thermaltake,Litepower,ATX,,450,No,,
SeaSonic,PRIME Ultra Gold,ATX,80+ Gold,850,Full,Black,188.98
Solid Gear,SDGR-900E,ATX,,900,No,,65.98
Rosewill,PHOTON-1050,ATX,80+ Gold,1050,Full,,189.99
Silverstone,Strider,ATX,80+ Bronze,500,No,,55.99
Corsair,VS,ATX,,650,No,,
Deepcool,DA-N,ATX,80+ Bronze,500,No,Black / Gold,
be quiet!,SystemPowerU9,ATX,80+ Bronze,500,No,Black,
Super Flower,LeadexIIIGold,ATX,80+ Gold,550,Full,Black,119.99
Silverstone,Strider Gold S V2,ATX,80+ Gold,850,Full,,359.95
Corsair,CX,ATX,80+ Bronze,500,No,,
Corsair,CXM,ATX,80+ Bronze,850,Semi,,
Super Flower,LeadexPlatinum,ATX,80+ Platinum,1000,Full,,
Cooler Master,VGoldV2,ATX,80+ Gold,750,Full,Black,
Raidmax,Cobra,ATX,80+ Bronze,700,No,,68.69
Cooler Master,MWEBronzeV2,ATX,80+ Bronze,600,No,Black,
Corsair,HX,ATX,80+ Gold,750,Semi,,492.28
SilentiumPC,Supremo FM2,ATX,80+ Gold,650,Full,Black,
Thermaltake,Toughpower Grand RGB Platinum,ATX,80+ Platinum,850,Full,Black,199.99
EVGA,SuperNOVA NEX750B BRONZE,ATX,80+ Bronze,750,Semi,,
be quiet!,SFXLPower,SFX,80+ Gold,600,Full,,
Cooler Master,VGold,ATX,80+ Gold,750,Full,Black,
Corsair,VS,ATX,80+,600,No,,256.49
Thermaltake,Toughpower PF1,ATX,80+ Platinum,750,Full,Black,129.99
GameMax,GM,ATX,80+ Bronze,800,Semi,Black,
Deepcool,GamerStorm DQ-M,ATX,80+ Gold,850,Full,Black / Silver,
Solid Gear,SDGR-650E,ATX,,650,No,,59.62
SeaSonic,SSP-300ST,ATX,80+ Bronze,300,No,,
Corsair,RM,ATX,80+ Gold,450,Full,,
Cougar,GX-S,ATX,80+ Gold,750,No,,137.78
CoolMax,V-500,ATX,,500,No,,30.27
SeaSonic,M12II,ATX,80+ Bronze,520,Full,,
SeaSonic,FOCUS,ATX,80+ Gold,1000,Full,Black,
Corsair,AX,ATX,80+ Gold,1200,Full,,
Corsair,CSM,ATX,80+ Gold,550,Semi,,
Thermaltake,Toughpower,ATX,80+ Gold,1000,Semi,,250.99
Cooler Master,MasterWattLite230V,ATX,80+,700,No,,
Chieftec,GPS-600A8,ATX,80+,600,No,,156.00
Corsair,CXF,ATX,80+ Bronze,750,Full,White / Black,
CoolMax,ZX-600,ATX,80+,600,No,,51.01
Silverstone,SFX,SFX,80+ Gold,600,Full,,
Gigabyte,GreenMax Plus,ATX,80+ Bronze,550,No,,
EVGA,GS,ATX,80+ Gold,650,Full,,
Xilence,Performance C,ATX,,500,No,Black / Red,
Corsair,RM,ATX,80+ Gold,550,Full,,
Corsair,Vengeance,ATX,80+ Silver,650,Semi,Black,
Apevia,Prestige,ATX,80+ Gold,600,No,Black,54.99
BitFenix,Formula Gold,ATX,80+ Gold,650,No,,
Thermaltake,Toughpower GF1 ARGB,ATX,80+ Gold,750,Full,,169.99
FSP Group,HydroGE,ATX,80+ Gold,650,Full,,99.99
Deepcool,GamerStorm DQ-M,ATX,80+ Gold,750,Full,Black / Silver,
Cooler Master,MWEGold,ATX,80+ Gold,650,No,Black,169.00
EVGA,B2,ATX,80+ Bronze,750,Semi,,125.97
Rosewill,Glacier 850M,ATX,80+ Bronze,850,Semi,,89.99
Rosewill,Glacier 700M,ATX,80+ Bronze,700,Semi,,68.99
Thermaltake,Smart,ATX,80+ Bronze,650,No,,
EVGA,B3,ATX,80+ Bronze,650,Full,,134.99
NZXT,E,ATX,80+ Gold,650,Full,Black,
Thermaltake,Toughpower PF1,ATX,80+ Platinum,650,Full,,149.99
Cooler Master,MWEBronze,ATX,80+ Bronze,500,No,Black,
Silverstone,Strider Platinum,ATX,80+ Platinum,750,Full,,141.18
Xilence,Performance C,ATX,,600,No,Black / Red,
Corsair,TX,ATX,80+,750,No,,
Rosewill,Capstone,ATX,80+ Gold,1000,Semi,Black,159.99
PowerSpec,PSX 850GFM,ATX,80+ Gold,850,Full,Black,
SeaSonic,Platinum,ATX,80+ Platinum,1000,Full,,
Silverstone,Strider Plus,ATX,80+ Bronze,500,Full,,
Corsair,TXM,ATX,80+ Bronze,850,Semi,,
SeaSonic,Platinum,ATX,80+ Platinum,400,Full,,
EVGA,G1,ATX,80+ Gold,750,Full,,
Antec,True Power,ATX,80+ Bronze,650,Full,,
Corsair,GS,ATX,80+ Bronze,800,No,,
Thermaltake,Toughpower SFX,SFX,80+ Gold,600,Full,Black,142.99
SeaSonic,G,ATX,80+ Gold,650,Semi,,187.94
Silverstone,Strider Platinum,ATX,80+ Platinum,550,Full,,145.19
Thermaltake,Toughpower iRGB PLUS,ATX,80+ Gold,1000,Full,Black,537.22
CoolMax,CM-300,Micro ATX,,300,No,,
Cooler Master,MasterWattLiteFullRange,ATX,80+,600,No,,288.76
Raidmax,Thunder RGB,ATX,80+ Bronze,535,Semi,Black,
be quiet!,PowerZone,ATX,80+ Bronze,1000,Full,,255.52
Thermaltake,Smart BX1 RGB,ATX,80+ Bronze,650,No,Black,117.80
Cooler Master,MWEBronze,ATX,80+ Bronze,650,No,Black,139.90
Silverstone,SST-TX300,TFX,80+ Bronze,300,No,Black,79.98
Cooler Master,MWEGold,ATX,80+ Gold,750,No,Black,
Corsair,TXM,ATX,80+ Bronze,750,Semi,,
BitFenix,Whisper M,ATX,80+ Gold,850,Full,,
FSP Group,FSP400-60FGGBA,Flex ATX,80+ Gold,400,No,,225.99
Silverstone,Strider,ATX,80+,400,No,,
Silverstone,Strider Platinum,ATX,80+ Platinum,1200,Full,,
Logisys,PS350MA,Micro ATX,,350,No,,16.98
SeaSonic,G,ATX,80+ Gold,550,Semi,,
SilentiumPC,Vero L2,ATX,80+ Bronze,600,No,Black,
Silverstone,SX500-G,SFX,80+ Gold,500,Full,,108.98
FSP Group,HEXA+,ATX,,500,No,,
NOX,Hummer,ATX,80+ Bronze,650,Semi,,
Apevia,Spirit,ATX,,600,No,,
SeaSonic,PRIME PX,ATX,80+ Platinum,1000,Full,Black / Silver,625.99
Cooler Master,VSFXGold,SFX,80+ Gold,850,Full,Black,
EVGA,GS,ATX,80+ Gold,550,Full,,
Silverstone,Nightjar,SFX,80+ Platinum,450,Full,Black / Blue,184.46
Silverstone,Strider Titanium,ATX,80+ Titanium,1100,Full,Black / Blue,333.98
SeaSonic,X,ATX,80+ Gold,850,Full,,299.99
Cooler Master,MasterWattLite230V,ATX,80+,600,No,,
be quiet!,PowerZone,ATX,80+ Bronze,750,Full,,220.69
Cooler Master,B500ver.2,ATX,80+,500,No,,
Thermaltake,Smart,ATX,80+ Bronze,750,No,,
Rosewill,HIVE,ATX,80+ Bronze,1000,Semi,,144.99
GameMax,GM,ATX,80+ Gold,2000,No,Black,
Xilence,Performance X,ATX,80+ Gold,750,Semi,Black / Red,174.68
FSP Group,HyperM85+,ATX,80+ Bronze,550,Semi,Black,84.99
FSP Group,HyperM,ATX,80+,700,Semi,Black,
Thermaltake,Toughpower,ATX,80+ Gold,550,Semi,,
Chieftec,GPS-700A8,ATX,80+ Bronze,700,No,Black / White,100.64
Thermaltake,Toughpower,ATX,80+ Gold,1500,Semi,,305.99
Cooler Master,MWEWhiteV2230V,ATX,80+,450,No,Black,
EVGA,G1,ATX,80+ Gold,1000,Full,,
Thermaltake,Toughpower iRGB PLUS,ATX,80+ Gold,850,Full,Black,188.99
Xilence,Performance X,ATX,80+ Gold,650,No,Black / Red,151.59
Corsair,HX,ATX,80+ Gold,750,Semi,,
SilentiumPC,Vero L2,ATX,80+ Bronze,500,No,Black,
NOX,Hummer GD,ATX,80+ Gold,750,No,,
Corsair,GS,ATX,80+ Bronze,700,No,,
Athena Power,AP-MFATX50P8,Flex ATX,80+ Silver,500,No,,94.99
SHARKOON,SilentStorm,SFX,80+ Gold,500,Full,Black,136.61
KOLINK,KL-SFX450,SFX,80+ Bronze,450,No,Black / Green,
Thermaltake,Toughpower SFX,SFX,80+ Gold,450,Full,Black,
SeaSonic,PRIME Titanium,ATX,80+ Titanium,750,Full,,
Silverstone,SFX,SFX,80+ Gold,450,Full,,
Thermaltake,Toughpower DPS G RGB,ATX,80+ Titanium,1250,Full,,739.00
Cougar,COUGAR-SX850,ATX,80+ Silver,850,Full,,
SeaSonic,PRIME,ATX,80+ Gold,850,Full,Black,188.98
Corsair,AX,ATX,80+ Gold,750,Full,,
Cooler Master,VPlatinum,ATX,80+ Platinum,850,Full,Black,197.99
SeaSonic,PRIME SNOWSILENT,ATX,80+ Gold,550,Full,White,
SilentiumPC,Supremo L2 V2,ATX,80+ Gold,550,No,Black,
NZXT,E,ATX,80+ Gold,500,Full,Black,
Cooler Master,MasterWattTUF,ATX,80+ Bronze,750,Semi,Black / Gray,
Cooler Master,VGoldV2,ATX,80+ Gold,650,Full,Black,
Thermaltake,German,ATX,80+,630,No,,170.00
EVGA,SuperNOVA NEX,ATX,80+ Bronze,750,Semi,,
Silverstone,Strider,ATX,80+ Silver,750,Full,,
be quiet!,DarkPowerPro11,ATX,80+ Platinum,1200,Semi,,279.99
Raidmax,RX-730SS,ATX,,730,Semi,,
In Win,IP-S200DF1-0,TFX,,200,No,,63.00
Fractal Design,IntegraM,ATX,80+ Bronze,650,Semi,,
Cooler Master,V700,ATX,80+ Gold,700,Full,,
XFX,TS,ATX,80+ Bronze,550,No,,
Cooler Master,GM,ATX,80+ Bronze,750,Semi,,
Silverstone,Strider Titanium,ATX,80+ Titanium,800,Full,,435.99
Super Flower,GoldenGreenHX,ATX,80+ Gold,350,No,,
Silverstone,Strider,ATX,80+,500,No,,
OCZ,ModXStream Pro,ATX,80+,600,Semi,,
Corsair,HX,ATX,80+,1000,Semi,,
NOX,URANO TX,ATX,,850,No,,
Antec,VP,ATX,,450,No,,
Rosewill,Glacier 1000M,ATX,80+ Bronze,1000,Semi,,109.99
Super Flower,LeadexIIIARGBPro,ATX,80+ Gold,850,Full,Black,189.99
Thermaltake,Toughpower iRGB PLUS,ATX,80+ Gold,750,Full,Black,159.99
EVGA,BV,ATX,80+ Bronze,450,No,,
Athena Power,AP-MFATX40,Mini ITX,80+ Bronze,400,No,,
Cooler Master,VPlatinum,ATX,80+ Platinum,1000,Full,Black,
NOX,Hummer X,ATX,80+ Gold,650,Full,Black,
Corsair,TX,ATX,80+,650,No,,
Xilence,Performance C,ATX,,400,No,Black / Red,
Cougar,GX-S,ATX,80+ Gold,650,No,,
SeaSonic,X,ATX,80+ Platinum,460,Full,,
Corsair,HX,ATX,80+ Gold,1050,Semi,,
Solid Gear,SDGR-750E,ATX,,750,Semi,,68.94
Xilence,Performance C,ATX,,700,No,Black / Red,
Cooler Master,SilentProM,ATX,80+ Bronze,700,Full,,
Thermaltake,Smart,ATX,80+ Bronze,650,Semi,,
SeaSonic,FOCUS SGX,SFX,80+ Gold,450,Full,Black,
Cooler Master,V550,ATX,80+ Gold,550,Full,,
HEC,HP585D RETAIL,ATX,,585,No,,34.99
In Win,IP-P300BN7-2,ATX,80+,300,No,,56.50
Corsair,HX,ATX,80+ Gold,650,Semi,,
Enhance,ENP-7660,Flex ATX,80+ Platinum,600,No,Silver,
be quiet!,DarkPowerPro11,ATX,80+ Platinum,550,Semi,,218.15
Silverstone,TX300,TFX,80+ Bronze,300,No,Black,76.26
Thermaltake,Smart,ATX,80+,530,No,,
Corsair,VX,ATX,80+,550,No,,
FSP Group,Twins,ATX,80+ Gold,700,No,,499.99
Corsair,CSM,ATX,80+ Gold,450,Semi,,
SeaSonic,PRIME,ATX,80+ Gold,750,Full,Black,156.98
Cougar,GX-F,ATX,80+ Gold,750,Full,Black / Orange,
Cougar,VTX,ATX,80+ Bronze,500,No,Black,
be quiet!,SystemPowerU9,ATX,80+ Bronze,400,No,Black,
Thermaltake,Toughpower iRGB PLUS Platinum,ATX,80+ Platinum,1000,Full,Black,
Lian Li,PE,SFX,80+ Platinum,750,Full,,
Mars Gaming,MPII650,ATX,,650,No,Black / Red,
EVGA,B2,ATX,80+ Bronze,850,Semi,,
Thermaltake,TR2,ATX,,430,No,,
SeaSonic,FOCUS Gold,ATX,80+ Gold,450,Semi,,
Thermaltake,Smart SE,ATX,80+ Bronze,630,Semi,,
In Win,PB,ATX,80+ Gold,750,Full,,150.00
FSP Group,FSP180-50NIV,Micro ATX,,180,No,,
Cooler Master,GM,ATX,80+ Bronze,650,Semi,,
Silverstone,Essential,ATX,80+ Gold,550,Semi,Black,
Enermax,MaxTytan,ATX,80+ Titanium,1250,Full,Black / Silver,
Cougar,STX,ATX,80+,650,No,,
BitFenix,Formula Gold,ATX,80+ Gold,450,No,,
Topower,TOP-1000WG,ATX,80+ Gold,1000,No,,
Cooler Master,GM,ATX,80+ Bronze,550,Semi,,
Thermaltake,TR2,ATX,80+,700,No,,
Thermaltake,Toughpower GF1 ARGB,ATX,80+ Gold,650,Full,,159.99
GAMDIAS,KRATOS E1,ATX,80+,500,No,Black,
SeaSonic,S12II,ATX,80+ Bronze,350,No,,
SeaSonic,PRIME Platinum,ATX,80+ Platinum,750,Full,,
be quiet!,PowerZone,ATX,80+ Bronze,650,Full,,195.20
G.Skill,RIPJAWS Gold,ATX,80+ Gold,750,Full,Black,
Xilence,Performance X,ATX,80+ Gold,550,No,Black / Red,256.27
Athena Power,AP-MFATX40P8,Flex ATX,80+ Bronze,400,No,,83.98
FSP Group,HyperM85+,ATX,80+ Bronze,650,Semi,Black,94.99
OCZ,ModXStream Pro,ATX,80+,700,Semi,,
Corsair,AXi,ATX,80+ Platinum,760,Full,,
BitFenix,Formula Gold,ATX,80+ Gold,750,No,,
Xilence,Performance X,ATX,80+ Gold,850,Semi,Black / Red,156.66
Silverstone,SX-B,SFX,80+ Bronze,300,No,Black,67.01
Cooler Master,MWEGold,ATX,80+ Gold,550,No,Black,
Silverstone,Strider,ATX,80+ Silver,1500,No,,327.62
Antec,VP,ATX,,700,No,,
Cooler Master,MasterWatt,ATX,80+ Bronze,450,Semi,Black,
Super Flower,LeadexIIIARGBPro,ATX,80+ Gold,750,Full,Black,179.99
Corsair,VS,ATX,80+,400,No,,
Corsair,TX,ATX,80+,850,No,,
BitFenix,Whisper M,ATX,80+ Gold,550,Full,,
be quiet!,PowerZone,ATX,80+ Bronze,850,Full,,
EVGA,100-B1-0450-K1,ATX,80+ Bronze,450,No,,
Raidmax,XT,ATX,,500,No,,
Thermaltake,Smart,ATX,80+ Bronze,850,Semi,,
Thermaltake,TR2,ATX,80+ Bronze,600,No,,
Cooler Master,VGoldV2,ATX,80+ Gold,850,Full,Black,
Thermaltake,TR2,ATX,80+ Bronze,500,No,,
Corsair,GS,ATX,80+ Bronze,600,No,,
Silverstone,Strider,ATX,80+,600,No,,
SilentiumPC,Vero M2,ATX,80+ Bronze,600,No,Black,
Silverstone,Strider Platinum,ATX,80+ Platinum,1000,Full,,
SeaSonic,Snow Silent,ATX,80+ Platinum,1050,Full,,
GameMax,GM,ATX,80+ Gold,1350,No,Black,
Cooler Master,VPlatinum,ATX,80+ Platinum,1300,Full,Black,
GAMDIAS,KRATOS M1 B,ATX,80+ Bronze,600,No,Black,
SeaSonic,M12II,ATX,80+ Bronze,430,No,,
be quiet!,PUREPOWERL8300W,ATX,80+ Bronze,300,No,,
Ultra,X4,ATX,80+ Bronze,750,Full,,
NZXT,HALE90 V2,ATX,80+ Gold,1000,Full,,
SHARKOON,WPM Bronze,ATX,80+ Bronze,600,Semi,,
Deepcool,GamerStorm DQ-M,ATX,80+ Gold,650,Full,Black / Silver,
FSP Group,HydroG,ATX,80+ Gold,750,Full,,
Antec,Earthwatts,ATX,80+ Bronze,650,No,,
Thermaltake,TR2,ATX,80+ Bronze,380,No,,
SeaSonic,S12III,ATX,80+ Bronze,450,No,Black,
G.Skill,RIPJAWS Gold,ATX,80+ Gold,850,Full,Black,
SeaSonic,PRIME TX,ATX,80+ Titanium,650,Full,Black,
Xilence,Performance A+ III,ATX,80+ Bronze,650,No,Black / Red,
be quiet!,PurePower10,ATX,80+ Silver,500,No,,
EVGA,PS,ATX,80+ Platinum,1000,Full,,
Corsair,TX,ATX,80+ Bronze,850,No,,
Rosewill,HIVE,ATX,80+ Bronze,550,Semi,,69.99
KOLINK,KL-SFX250,SFX,80+ Bronze,250,No,Black / Green,
Antec,Earthwatts Green,ATX,80+ Bronze,380,No,,
PowerSpec,PS 650BF,ATX,80+ Bronze,650,No,Black,
Rosewill,HIVE,ATX,80+ Bronze,650,Semi,,99.99
Enermax,MAXPRO,ATX,80+,500,No,,
be quiet!,STRAIGHTPOWERE9|480WCM,ATX,80+ Gold,480,Full,,
EVGA,GS,ATX,80+ Gold,850,Full,,
Insignia,NS-PCW5508,ATX,80+ Bronze,550,No,Black,
Thermaltake,TOUGHPOWER PF1 ARGB,ATX,80+ Platinum,850,Full,,607.99
Cooler Master,MasterWattMaker,ATX,80+ Titanium,1500,Full,,
Thermaltake,Toughpower Grand RGB Sync Edition,ATX,80+ Gold,850,Full,Black,
Super Flower,LeadexTitanium,BTX,80+ Titanium,850,Full,Black,325.99
SeaSonic,PRIME Ultra Platinum,ATX,80+ Platinum,550,Full,Black,
SeaSonic,PRIME Titanium,ATX,80+ Titanium,850,Full,,
Cooler Master,B,ATX,80+,600,No,Black,
Rosewill,Lightning,ATX,80+ Gold,1300,Semi,,523.84
SeaSonic,G,ATX,80+ Gold,450,Semi,,
Antec,High Current Gamer,ATX,80+ Bronze,620,Semi,,
Silverstone,Strider Platinum,ATX,80+ Platinum,650,Full,,156.99
Thermaltake,Toughpower Grand RGB Sync Edition,ATX,80+ Gold,750,Full,Black,249.95
In Win,P,ATX,80+ Gold,850,Full,Black,155.37
Enermax,Platimax,ATX,80+ Platinum,1350,Full,Black,
Corsair,CX,ATX,80+ Bronze,750,No,,
Thermaltake,Toughpower iRGB PLUS Platinum,ATX,80+ Platinum,850,Full,Black,227.99
Thermaltake,Smart,ATX,80+ Bronze,750,Semi,,
Cooler Master,MasterWattLite230V,ATX,80+,500,No,,
SHARKOON,SilentStorm Cool Zero,ATX,80+ Gold,850,Full,Black,
EVGA,BT,ATX,80+ Bronze,500,No,Black,117.86
FSP Group,AURUMS600W,ATX,80+ Gold,600,No,,
Rosewill,Capstone,ATX,80+ Gold,750,No,,119.99
Rosewill,Lightning,ATX,80+ Gold,800,Semi,,
SeaSonic,PRIME SNOWSILENT,ATX,80+ Platinum,650,Full,White,
Corsair,TX,ATX,80+ Bronze,950,No,,
SeaSonic,PRIME Platinum,ATX,80+ Platinum,1200,Full,,
LEPA,MaxBron,ATX,80+ Bronze,1000,Semi,,
Corsair,Vengeance,ATX,80+ Bronze,400,No,,
Cooler Master,GX,ATX,80+ Bronze,750,No,,
Thermaltake,TOUGHPOWER PF1 ARGB,ATX,80+ Platinum,1050,Full,,
XFX,PRO Black Edition,ATX,80+ Gold,850,Full,,
be quiet!,PUREPOWERL8,ATX,80+ Bronze,630,Semi,Black / Orange,
Cooler Master,MWE,ATX,80+,450,No,Black,
Thermaltake,Smart,ATX,80+,730,No,,211.59
Thermaltake,Smart,ATX,80+ Bronze,550,No,,250.00
Montech,CENTURY,ATX,80+ Gold,650,Full,Black,
SeaSonic,Platinum,ATX,80+ Platinum,660,Full,,
Mars Gaming,MP700,ATX,,700,No,,
Antec,High Current Gamer,ATX,80+ Bronze,750,No,,325.58
FSP Group,HydroGPro,ATX,80+ Gold,750,Full,Black,146.74
EVGA,B3,ATX,80+ Bronze,750,Full,,149.99
Corsair,CSM,ATX,80+ Gold,850,Semi,,
BitFenix,Formula Gold,ATX,80+ Gold,550,No,,
Athena Power,APOLLO600PLUS,SFX,80+ Bronze,600,No,,149.41
Cooler Master,i700,ATX,80+ Bronze,700,No,,
Antec,High Current Gamer Extreme,ATX,80+ Gold,850,Full,,155.86
In Win,P,ATX,80+ Gold,650,Full,Black,
Sparkle,R-SPI600GHN,ATX,80+,600,No,,171.30
Xilence,Performance A+ III,ATX,80+ Bronze,550,No,Black / Red,109.41
Corsair,HX,ATX,80+,620,Full,,
PC Power & Cooling,HXSilencer,ATX,80+ Platinum,1200,Full,,309.82
Corsair,Vengeance,ATX,80+ Bronze,500,No,,
Corsair,240V,ATX,80+ Titanium,1500,Full,,
Silverstone,Strider,ATX,80+ Gold,550,Full,,113.42
Gigabyte,GE-P450P-C2,ATX,80+,550,No,,
