brand,model,form_factor,eff_rating,wattage,modular,color,price
EVGA,210-GQ-0650-V1,ATX,80+ Gold,650,Semi,,113.00
EVGA,BA,ATX,80+ Bronze,500,No,Black,55.96
Asus,ROG Strix,ATX,80+ Gold,750,Full,Black / Red,154.99
Thermaltake,Toughpower GX2,ATX,80+ Gold,600,No,Black,
NZXT,C,ATX,80+ Gold,750,Full,Black,119.99
Corsair,VS,ATX,80+,650,No,,
Cooler Master,MWEBronzeV2,ATX,80+ Bronze,550,No,Black,161.00
EVGA,G3,ATX,80+ Gold,550,Full,,104.98
SeaSonic,FOCUS,ATX,80+ Gold,750,Full,Black,169.99
Antec,NeoECO Gold ZEN,ATX,80+ Gold,700,No,Black / Gold,
Asus,ROG Strix,ATX,80+ Gold,850,Full,White,248.84
Apevia,Prestige,ATX,80+ Gold,800,No,Black,
Logisys,PS480D2,ATX,,480,No,,16.98
Antec,NeoECO Gold ZEN,ATX,80+ Gold,600,No,Black / Gold,
be quiet!,PurePower11CM,ATX,80+ Gold,500,Semi,Black,79.90
be quiet!,SystemPower9,ATX,80+ Bronze,400,No,Black,127.85
Corsair,CX (2017),ATX,80+ Bronze,650,No,,69.99
EVGA,T2,ATX,80+ Titanium,1600,Full,,499.99
Corsair,HX Platinum,ATX,80+ Platinum,750,Full,,164.98
NZXT,C,ATX,80+ Gold,650,Full,Black,104.40
be quiet!,StraightPower11,ATX,80+ Gold,750,Full,,338.99
EVGA,B5,ATX,80+ Bronze,750,Full,Black,103.22
CoolMax,I-500,ATX,,500,No,,22.67
SeaSonic,FOCUS,ATX,80+ Gold,550,Full,Black,99.99
Cooler Master,EliteV3,ATX,80+,400,No,Black,41.49
SeaSonic,FOCUS Plus Gold,ATX,80+ Gold,1000,Full,Black,
EVGA,SuperNOVA GA,ATX,80+ Gold,550,Full,Black,104.93
Cougar,VTE,ATX,80+ Bronze,600,No,Black,47.99
EVGA,BA,ATX,80+ Bronze,600,No,Black,69.98
EVGA,P2,ATX,80+ Platinum,850,Full,,209.94
be quiet!,SystemPower9,ATX,80+ Bronze,600,No,Black,138.94
Raidmax,XT,ATX,,300,No,,29.99
Antec,NeoECO Gold,ATX,80+ Gold,750,Semi,Black,79.99
EVGA,G1+,ATX,80+ Gold,750,Full,Black,123.94
SeaSonic,FOCUS Gold,ATX,80+ Gold,550,Semi,,79.98
Cooler Master,EliteV3,ATX,80+,600,No,Black,58.74
Antec,NeoECO Gold ZEN,ATX,80+ Gold,500,No,Black / Gold,
Antec,VP PLUS,ATX,80+,500,No,,52.62
be quiet!,StraightPower11,ATX,80+ Gold,650,Full,,118.79
Corsair,AX,ATX,80+ Titanium,850,Full,Black / Silver,
Thermaltake,Smart Pro RGB,ATX,80+ Bronze,750,Full,,109.99
Thermaltake,Toughpower Grand RGB,ATX,80+ Gold,850,Full,,149.99
Corsair,CXF,ATX,80+ Bronze,650,Full,White / Black,84.99
EVGA,T2,ATX,80+ Titanium,1000,Full,,335.98
EVGA,G1+,ATX,80+ Gold,650,Full,Black,114.54
Cooler Master,MasterWatt,ATX,80+ Bronze,550,Semi,,78.98
EVGA,100-N1-0750-L1,ATX,,750,No,,64.99
Cooler Master,EliteV3,ATX,,500,No,Black,49.99
Fractal Design,Ion+,ATX,80+ Platinum,760,Full,Black,134.98
be quiet!,PurePower11CM,ATX,80+ Gold,600,Semi,Black,99.99
Thermaltake,Smart BX1,ATX,80+ Bronze,650,No,Black,67.99
Corsair,HXi,ATX,80+ Platinum,850,Full,,222.94
SeaSonic,FOCUS Plus Platinum,ATX,80+ Platinum,650,Full,,124.99
Antec,Earthwatts Gold Pro,ATX,80+ Gold,650,Semi,Black,95.87
SeaSonic,PRIME Ultra Titanium,ATX,80+ Titanium,1000,Full,,
SeaSonic,FOCUS,ATX,80+ Gold,650,Full,Black,124.99
EVGA,P2,ATX,80+ Platinum,1600,Full,,465.00
SeaSonic,FOCUS Plus Platinum,ATX,80+ Platinum,850,Full,,172.31
Corsair,SF,SFX,80+ Gold,450,Full,,112.39
EVGA,P2,ATX,80+ Platinum,750,Full,,179.94
Silverstone,Essential,ATX,80+ Bronze,750,No,Black,74.22
be quiet!,PurePower11,ATX,80+ Bronze,300,No,Black,135.03
Phanteks,Revolt Pro,ATX,80+ Gold,1000,Full,Silver / Black,247.99
Corsair,CXF,ATX,80+ Bronze,650,Full,Black,84.99
Corsair,RMx,ATX,80+ Gold,650,Full,,191.99
GameMax,RGB Rainbow,ATX,80+ Gold,850,Full,Black,
EVGA,G5,ATX,80+ Gold,650,Full,Black / Green,94.99
EVGA,G5,ATX,80+ Gold,750,Full,Black / Green,135.71
SeaSonic,PRIME Ultra Titanium,ATX,80+ Titanium,750,Full,,224.85
