brand,model,speed,modules,price_per_gb,color,first_word_lat,cas_lat,price
Kingston,HyperX Fury RGB 16 GB,DDR4-3200,2 x 8GB,4.843,Black,10,16,77.49
Patriot,Viper Steel 16 GB,DDR4-4400,2 x 8GB,6.562,Silver / Black,8.636,19,104.99
G.Skill,Aegis 8 GB,DDR4-2400,2 x 4GB,3.874,Black / Red,14.167,17,30.99
Team,T-FORCE DARK Za 32 GB,DDR4-3600,2 x 16GB,3.281,Black / Silver,10,18,104.99
Corsair,Vengeance LPX 16 GB,DDR4-3000,1 x 16GB,3.749,Black,10.667,16,59.99
Corsair,Vengeance LPX 16 GB,DDR4-2666,2 x 8GB,4.437,Black / Yellow,12.003,16,70.99
Corsair,Vengeance 16 GB,DDR3-1600,2 x 8GB,4.187,Black / Yellow,11.25,9,66.99
OLOy,WarHawk RGB 16 GB,DDR4-3200,2 x 8GB,3.624,Black / Gold,10,16,57.99
G.Skill,Trident Z Neo 32 GB,DDR4-3600,4 x 8GB,7.187,Silver / Black,8.889,16,229.99
Crucial,Ballistix RGB 16 GB,DDR4-3600,2 x 8GB,5.624,White,8.889,16,89.99
Crucial,CT4G4DFS824A 4 GB,DDR4-2400,1 x 4GB,4.245,Black / Green,14.167,17,16.98
Team,T-FORCE DARK Z 16 GB,DDR4-3200,2 x 8GB,3.562,Silver / Black,10,16,56.99
OLOy,WarHawk RGB 16 GB,DDR4-3600,2 x 8GB,4.499,Black / White,10,18,71.98
OLOy,MD4U083216BJDA 16 GB,DDR4-3200,2 x 8GB,3.374,Black,10,16,53.99
Patriot,Viper 4 Blackout 8 GB,DDR4-3000,2 x 4GB,4.749,Black,10.667,16,37.99
G.Skill,Trident Z RGB 16 GB,DDR4-3600,2 x 8GB,6.749,Black,8.889,16,107.99
G.Skill,Ripjaws V 64 GB,DDR4-3600,2 x 32GB,3.515,Black,10,18,224.99
Corsair,Vengeance RGB Pro 32 GB,DDR4-3600,2 x 16GB,,Black,10,18,
Patriot,Viper 4 Blackout 16 GB,DDR4-3200,2 x 8GB,3.624,Black,10,16,57.99
G.Skill,Trident Z Neo 32 GB,DDR4-3600,2 x 16GB,4.031,Black / White,10,18,128.99
G.Skill,Trident Z RGB 32 GB,DDR4-3200,4 x 8GB,5.625,Black,10,16,179.99
Corsair,Vengeance RGB Pro 256 GB,DDR4-3200,8 x 32GB,4.609,Black,10,16,1179.99
Corsair,Dominator Platinum RGB 32 GB,DDR4-3200,2 x 16GB,5.312,Black,10,16,169.99
G.Skill,Ripjaws V Series 16 GB,DDR4-3200,2 x 8GB,3.749,Black,10,16,59.99
G.Skill,Ripjaws V Series 64 GB,DDR4-3200,4 x 16GB,3.281,Black,10,16,209.99
G.Skill,Trident Z RGB 32 GB,DDR4-3200,2 x 16GB,5.281,Black,10,16,169.00
ADATA,XPG Z1 16 GB,DDR4-3000,2 x 8GB,3.218,Silver / Black,10.667,16,51.49
Team,T-FORCE DARK Za 16 GB,DDR4-3600,2 x 8GB,3.937,Black / Silver,10,18,62.99
