brand,model,speed,modules,price_per_gb,color,first_word_lat,cas_lat,price
G.Skill,Sniper Series 16 GB,DDR3-2133,2 x 8GB,5.374,Black / Red,9.376,10,85.99
Team,T-Force Vulcan 16 GB,DDR4-3200,2 x 8GB,5.860,Black / Silver,10,16,93.76
G.Skill,Trident Z Royal 16 GB,DDR4-3000,2 x 8GB,6.687,Gold,10.667,16,106.99
Corsair,Vengeance LED 64 GB,DDR4-3200,4 x 16GB,4.672,Black / Blue,10,16,299.00
Crucial,Sport LT 8 GB,DDR4-2400,1 x 8GB,11.765,White,13.333,16,94.12
Kingston,HyperX FURY 16 GB,DDR4-3200,1 x 16GB,,Black / Silver,11.25,18,
G.Skill,Ripjaws Series 12 GB,DDR3-1600,3 x 4GB,6.748,Black / Red,11.25,9,80.98
Timetec,75TT21NU 8 GB,DDR4-2133,2 x 4GB,7.124,Black,14.065,15,56.99
Corsair,Vengeance Pro 16 GB,DDR3-2400,2 x 8GB,,Black / Red,9.167,11,
G.Skill,Trident Z 32 GB,DDR4-3200,4 x 8GB,4.531,Silver / Black,10,16,145.00
G.Skill,Trident Z 32 GB,DDR4-3000,2 x 16GB,5.000,Red / Silver,9.333,14,159.99
G.Skill,Trident Z Royal 32 GB,DDR4-4000,4 x 8GB,14.687,Silver,8.5,17,469.99
G.Skill,Value 8 GB,DDR3-1600,1 x 8GB,4.473,Black,13.75,11,35.78
G.Skill,Ripjaws V Series 32 GB,DDR4-3400,4 x 8GB,4.687,Black,9.412,16,149.99
G.Skill,AEGIS 16 GB,DDR3-1600,2 x 8GB,4.701,,13.75,11,75.21
G.Skill,Ripjaws 4 Series 16 GB,DDR4-3000,2 x 8GB,4.562,Black,10,15,72.99
Corsair,Vengeance RGB Pro 32 GB,DDR4-3733,4 x 8GB,,Black,9.108,17,
Crucial,Ballistix Tactical Tracer RGB 32 GB,DDR4-3200,4 x 8GB,7.742,Silver,10,16,247.74
G.Skill,Ripjaws Series 4 GB,DDR3-1600,2 x 2GB,6.497,Black / Red,11.25,9,25.99
Team,T-Force Delta RGB 16 GB,DDR4-2400,2 x 8GB,,Black,12.5,15,
Corsair,Dominator Platinum ROG Edition 32 GB,DDR4-3200,4 x 8GB,,Black / Red,10,16,
Corsair,Vengeance LPX 16 GB,DDR4-2800,2 x 8GB,,Red,10.714,15,
Kingston,HyperX Beast 16 GB,DDR3-1866,2 x 8GB,,Black,10.718,10,
G.Skill,Trident Z 16 GB,DDR4-3600,2 x 8GB,,Red / Silver,8.889,16,
Team,T-FORCE DARK Z 32 GB,DDR4-3000,2 x 16GB,,Red / Black,10.667,16,
G.Skill,Ripjaws V 32 GB,DDR4-2666,2 x 16GB,3.593,Red,14.254,19,114.99
G.Skill,Trident Z Neo 64 GB,DDR4-3000,4 x 16GB,4.453,Silver / Black,10.667,16,284.99
G.Skill,Sniper X 32 GB,DDR4-3200,4 x 8GB,4.218,Black / Camo,10,16,134.99
Corsair,Vengeance Pro 8 GB,DDR3-1600,2 x 4GB,6.696,Black / Red,11.25,9,53.57
Corsair,Vengeance LPX 16 GB,DDR4-4700,2 x 8GB,39.062,Black / Yellow,8.085,19,624.99
Corsair,Dominator Platinum 64 GB,DDR4-2666,4 x 16GB,13.469,Black / Silver,11.253,15,862.00
Kingston,HyperX Fury 16 GB,DDR4-2400,2 x 8GB,13.541,Red,12.5,15,216.65
G.Skill,Trident Z Royal 128 GB,DDR4-3200,8 x 16GB,5.469,Silver,10,16,699.99
Crucial,CT2K8G4DFD8213 16 GB,DDR4-2133,2 x 8GB,,Black / Green,14.065,15,
Kingston,FURY 8 GB,DDR4-2666,1 x 8GB,,Black / White,11.253,15,
Kingston,KVR16LN11K2/8 8 GB,DDR3-1600,2 x 4GB,5.624,Black / Green,13.75,11,44.99
G.Skill,Trident Z 16 GB,DDR4-3200,2 x 8GB,13.688,Silver / White,8.75,14,219.00
Mushkin,Enhanced Silverline 16 GB,DDR4-2133,2 x 8GB,,Silver / Green,14.065,15,
G.Skill,Sniper X 32 GB,DDR4-3200,2 x 16GB,3.750,Black / Camo,10,16,119.99
G.Skill,Sniper Series 16 GB,DDR3-1866,2 x 8GB,8.106,Black / Red,9.646,9,129.70
G.Skill,Flare X 32 GB,DDR4-3200,4 x 8GB,4.375,Black,10,16,139.99
G.Skill,AEGIS 4 GB,DDR3-1333,1 x 4GB,4.997,,13.503,9,19.99
G.Skill,Ripjaws V Series 16 GB,DDR4-2800,2 x 8GB,4.062,Black / Red,10.714,15,64.99
G.Skill,Flare X 64 GB,DDR4-2933,4 x 16GB,,Black,9.547,14,
Corsair,Vengeance LPX 16 GB,DDR4-2400,2 x 8GB,7.786,Black / Yellow,11.667,14,124.58
Corsair,Vengeance LPX 16 GB,DDR4-4600,2 x 8GB,51.206,Black,8.261,19,819.30
Team,Vulcan 8 GB,DDR4-2400,1 x 8GB,,Black / Red,11.667,14,
Crucial,Ballistix Sport LT 16 GB,DDR4-2400,2 x 8GB,,White,13.333,16,
Corsair,Vengeance LPX 256 GB,DDR4-2666,8 x 32GB,4.375,Black / Yellow,12.003,16,1119.99
Team,T-FORCE T1 16 GB,DDR4-2666,2 x 8GB,,Black / Red,13.503,18,
Klevv,BOLT 8 GB,DDR4-3000,1 x 8GB,,Black / Gold,10,15,
GeIL,Dragon RAM 32 GB,DDR4-3000,2 x 16GB,,White / Gold,10,15,
G.Skill,Trident Z Royal 16 GB,DDR4-3600,2 x 8GB,,Gold,8.889,16,
Corsair,Vengeance LPX 32 GB,DDR4-3000,2 x 16GB,4.093,Red,10,15,130.99
G.Skill,Ripjaws V Series 16 GB,DDR4-2800,1 x 16GB,3.937,Red,10.714,15,62.99
Kingston,HyperX Fury Blue 8 GB,DDR3-1866,2 x 4GB,5.874,Blue / Silver,10.718,10,46.99
Team,T-Force Delta RGB 4 GB,DDR4-2400,1 x 4GB,13.777,Black,12.5,15,55.11
Kingston,KCP421NS8/4 4 GB,DDR4-2133,1 x 4GB,4.750,Black / Green,14.065,15,19.00
Kingston,HyperX Fury Black 4 GB,DDR4-2133,1 x 4GB,,Black / White,13.127,14,
Corsair,Dominator Platinum 32 GB,DDR3-1600,4 x 8GB,21.925,Black / Silver,11.25,9,701.59
G.Skill,Ripjaws V Series 32 GB,DDR4-3000,2 x 16GB,4.062,Red,10,15,129.99
Crucial,CT2K51264BD160BJ 8 GB,DDR3-1600,2 x 4GB,5.416,Black / Green,13.75,11,43.33
Corsair,Dominator Platinum RGB 16 GB,DDR4-4000,2 x 8GB,19.999,Black / Silver,9.5,19,319.99
Corsair,Vengeance LPX 32 GB,DDR4-3333,2 x 16GB,,Black / Yellow,9.601,16,
G.Skill,Ripjaws Series 32 GB,DDR4-2666,4 x 8GB,4.673,Red,11.253,15,149.55
Crucial,Ballistix Sport 32 GB,DDR3-1600,4 x 8GB,,Black / Silver,11.25,9,
Kingston,KVR13N9K2/16 16 GB,DDR3-1333,2 x 8GB,5.187,Green,13.503,9,82.99
Team,T-FORCE VULCAN Z 8 GB,DDR4-3000,2 x 4GB,,Silver / Black,10.667,16,
G.Skill,Trident Z Royal 32 GB,DDR4-4000,4 x 8GB,12.812,Gold,8.5,17,409.99
G.Skill,Value 8 GB,DDR4-2400,2 x 4GB,,Black,14.167,17,
Corsair,Vengeance LPX 64 GB,DDR4-3333,4 x 16GB,19.119,Black / Yellow,9.601,16,1223.61
Patriot,Signature Line 8 GB,DDR4-2666,2 x 4GB,,Black / White,14.254,19,
Kingston,HyperX 6 GB,DDR3-1600,3 x 2GB,4.998,Blue / White,11.25,9,29.99
Kingston,KHX1600C9D3/4G 4 GB,DDR3-1600,1 x 4GB,,Blue / Silver,11.25,9,
G.Skill,Sniper X 64 GB,DDR4-3600,4 x 16GB,4.297,Silver / Camo,10.556,19,274.99
Patriot,Signature 8 GB,DDR3-1333,1 x 8GB,4.372,Green,13.503,9,34.98
Kingston,HyperX Fury RGB 32 GB,DDR4-2400,2 x 16GB,4.608,Black,12.5,15,147.46
Team,T-FORCE DARK Z 16 GB,DDR4-3000,2 x 8GB,,Red / Black,10.667,16,
Crucial,Ballistix Sport LT 32 GB,DDR4-3000,2 x 16GB,,White / Silver,10,15,
Crucial,Ballistix Tactical Tracer RGB 8 GB,DDR4-3000,1 x 8GB,25.435,Silver,10,15,203.48
Team,Vulcan 16 GB,DDR4-3000,2 x 8GB,,Black / Red,10.667,16,
Corsair,Vengeance 8 GB,DDR3-1600,2 x 4GB,,Black / Blue,10,8,
Kingston,KHX1600C10D3B1/8G 8 GB,DDR3-1600,1 x 8GB,,Blue / Silver,12.5,10,
G.Skill,Ripjaws V 64 GB,DDR4-3600,8 x 8GB,,Black,7.778,14,
G.Skill,Sniper X 16 GB,DDR4-3400,2 x 8GB,9.484,Camo / Black,9.412,16,151.75
G.Skill,Trident Z 16 GB,DDR4-3000,2 x 8GB,,Red / Silver,10,15,
Team,Dark 16 GB,DDR4-3000,2 x 8GB,6.173,Black / Silver,10.667,16,98.76
G.Skill,Trident Z Royal 32 GB,DDR4-3600,4 x 8GB,12.469,Silver,9.444,17,399.00
G.Skill,Ares Series 8 GB,DDR3-1600,2 x 4GB,8.000,Black / Blue,11.25,9,64.00
G.Skill,Trident Z RGB 16 GB,DDR4-2400,2 x 8GB,5.624,Black,12.5,15,89.99
Corsair,Vengeance LPX 64 GB,DDR4-3200,8 x 8GB,7.328,Black / Yellow,9.375,15,468.99
G.Skill,Trident Z 32 GB,DDR4-2800,2 x 16GB,4.531,Pink / Silver,10,14,144.99
Corsair,Vengeance LPX 16 GB,DDR4-4500,2 x 8GB,34.000,Black / Yellow,8.444,19,544.00
G.Skill,NT Series 8 GB,DDR4-2133,2 x 4GB,,Black,14.065,15,
G.Skill,Trident Z RGB 32 GB,DDR4-2400,4 x 8GB,10.062,Black,12.5,15,322.00
Corsair,Vengeance 4 GB,DDR3-1600,1 x 4GB,6.247,Black / Blue,11.25,9,24.99
Kingston,ValueRAM 4 GB,DDR3-1333,2 x 2GB,7.473,Green,13.503,9,29.89
Kingston,HyperX Predator 64 GB,DDR4-3200,4 x 16GB,5.922,Black / Gray,10,16,379.00
Corsair,XMS3 8 GB,DDR3-1333,4 x 2GB,24.574,Black / Blue,13.503,9,196.59
Samsung,M386A8K40BM1-CRC4Q 64 GB,DDR4-2400,1 x 64GB,,Green / Black,14.167,17,
Corsair,Dominator Platinum Blackout 32 GB,DDR4-3200,2 x 16GB,,Black,8.75,14,
G.Skill,Trident Z 16 GB,DDR4-3600,2 x 8GB,5.999,Red / Silver,9.444,17,95.99
G.Skill,Trident Z Royal 16 GB,DDR4-3200,2 x 8GB,,Gold,8.75,14,
G.Skill,Trident Z 16 GB,DDR4-4133,2 x 8GB,8.124,Black / White,9.194,19,129.99
G.Skill,Ripjaws X Series 16 GB,DDR3-2133,2 x 8GB,8.062,Black / Blue,9.376,10,129.00
G.Skill,Trident Z 16 GB,DDR4-3733,2 x 8GB,7.499,Black / White,9.108,17,119.99
Corsair,Vengeance 16 GB,DDR3-1600,2 x 8GB,4.812,Black / Silver,11.25,9,76.99
Kingston,FURY 8 GB,DDR4-2400,1 x 8GB,9.784,Black / Silver,12.5,15,78.27
Corsair,Vengeance LPX 32 GB,DDR4-4133,4 x 8GB,15.000,Black / Yellow,9.194,19,479.99
Corsair,Vengeance RGB 32 GB,DDR4-3200,4 x 8GB,9.931,Black,10,16,317.79
Corsair,XMS3 8 GB,DDR3-1333,1 x 8GB,,Black / Blue,13.503,9,
Crucial,Ballistix Sport LT 16 GB,DDR4-3000,1 x 16GB,,Silver / Black,10,15,
G.Skill,Trident Z 64 GB,DDR4-4000,8 x 8GB,6.875,Silver / White,9,18,439.99
OLOy,WarHawk RGB 32 GB,DDR4-3200,2 x 16GB,,Black / White,10,16,
Crucial,Ballistix Sport LT 8 GB,DDR4-2666,2 x 4GB,,Silver / Gray,12.003,16,
G.Skill,Ripjaws V Series 16 GB,DDR4-3000,2 x 8GB,4.374,Black,10,15,69.99
Mushkin,Essentials 16 GB,DDR3-1600,2 x 8GB,3.937,Black / Green,13.75,11,62.99
Team,T-FORCE VULCAN Z 32 GB,DDR4-3000,2 x 16GB,8.370,Red / Black,10.667,16,267.85
G.Skill,Ripjaws X Series 8 GB,DDR3-1866,1 x 8GB,,Black / Red,10.718,10,
Crucial,CT32G4LFD424A 32 GB,DDR4-2400,1 x 32GB,3.956,Green / Black,14.167,17,126.59
ADATA,XPG GAMMIX D10 16 GB,DDR4-2666,2 x 8GB,8.217,Red / White,12.003,16,131.47
Kingston,HyperX Fury 16 GB,DDR4-2666,1 x 16GB,13.624,Red / Silver,12.003,16,217.99
Corsair,Vengeance RGB Pro 64 GB,DDR4-4000,8 x 8GB,,Black,9.5,19,
ADATA,XPG GAMMIX D30 16 GB,DDR4-3600,2 x 8GB,,Silver / Black,9.444,17,
ADATA,AD3U1333C4G9-2 8 GB,DDR3-1333,2 x 4GB,,Green,13.503,9,
Corsair,Vengeance Pro 16 GB,DDR3-2400,2 x 8GB,,Black / Gold,9.167,11,
Crucial,Ballistix Sport LT 8 GB,DDR4-2400,1 x 8GB,,Gray,13.333,16,
G.Skill,Trident Z RGB 32 GB,DDR4-3733,2 x 16GB,9.062,Black,9.108,17,289.99
Crucial,Ballistix Tactical 8 GB,DDR4-3000,1 x 8GB,10.375,Black / Silver,10,15,83.00
Kingston,HyperX Fury Red 8 GB,DDR3-1600,2 x 4GB,5.874,Red / Silver,12.5,10,46.99
Corsair,Vengeance LPX 16 GB,DDR4-2666,4 x 4GB,7.214,Blue,11.253,15,115.42
Kingston,HyperX Predator 128 GB,DDR4-3000,8 x 16GB,5.843,Black / Silver,10,15,747.95
Corsair,Vengeance LED 16 GB,DDR4-2666,2 x 8GB,,Black / Red,12.003,16,
Kingston,HyperX Fury 64 GB,DDR4-2933,4 x 16GB,,Black / White,11.592,17,
ADATA,XPG Z1 32 GB,DDR4-2133,4 x 8GB,,Red / Black,14.065,15,
Samsung,MV-3V4G4D/US 8 GB,DDR3-1333,2 x 4GB,,Black,13.503,9,
Team,Elite Plus 8 GB,DDR4-2400,1 x 8GB,,Black / Gold,13.333,16,
Corsair,Vengeance LPX 8 GB,DDR4-3600,2 x 4GB,,Black / Yellow,10,18,
OLOy,WarHawk RGB 32 GB,DDR4-3600,2 x 16GB,,Black / White,10,18,
G.Skill,Trident Z 16 GB,DDR4-3200,2 x 8GB,5.937,Red / Silver,9.375,15,94.99
Mushkin,Proline 32 GB,DDR3-1066,1 x 32GB,3.406,Green,13.133,7,108.99
Kingston,HyperX Fury RGB 16 GB,DDR4-3000,1 x 16GB,4.749,Black,10,15,75.99
G.Skill,Ripjaws V Series 16 GB,DDR4-3000,1 x 16GB,11.125,Red,10,15,178.00
Crucial,CT32G4RFD4293 32 GB,DDR4-2933,1 x 32GB,5.434,Green / Black,14.32,21,173.89
Kingston,Predator 8 GB,DDR3-2666,2 x 4GB,30.035,Black / Blue,8.252,11,240.28
Apacer,Commando 16 GB,DDR4-2666,2 x 8GB,,Black / Red,12.003,16,
ADATA,XPG Z1 16 GB,DDR4-2133,2 x 8GB,,Red / Black,14.065,15,
ADATA,XPG GAMMIX D10 8 GB,DDR4-3000,1 x 8GB,,Red / White,10.667,16,
Kingston,FURY 8 GB,DDR4-2400,1 x 8GB,,Black / White,12.5,15,
Corsair,Vengeance RGB Pro 128 GB,DDR4-3000,8 x 16GB,,White,10.667,16,
G.Skill,Ripjaws V Series 32 GB,DDR4-3000,2 x 16GB,4.687,Black,9.333,14,149.99
G.Skill,Trident Z 32 GB,DDR4-3400,2 x 16GB,7.500,Silver / Red,9.412,16,239.99
G.Skill,Ripjaws V Series 16 GB,DDR4-3600,2 x 8GB,8.121,Black,9.444,17,129.94
G.Skill,Ripjaws V Series 32 GB,DDR4-3200,4 x 8GB,,Black,9.375,15,
Corsair,Dominator Platinum 32 GB,DDR4-2800,2 x 16GB,,Black / Silver,10.714,15,
Wintec,Value 16 GB,DDR3-1333,2 x 8GB,3.074,Green,13.503,9,49.19
ADATA,XPG GAMMIX D30 16 GB,DDR4-3200,2 x 8GB,,Silver / Black,10,16,
G.Skill,F4-2133C15D-16GNS 16 GB,DDR4-2133,2 x 8GB,,Black,14.065,15,
G.Skill,Ripjaws 4 series 32 GB,DDR4-2666,4 x 8GB,4.062,Blue,12.003,16,129.99
Kingston,HyperX Fury Red 4 GB,DDR3-1866,1 x 4GB,6.835,Red / Silver,10.718,10,27.34
G.Skill,Ripjaws V Series 8 GB,DDR4-3200,2 x 4GB,,Black,10,16,
Corsair,Dominator Platinum 32 GB,DDR4-2666,2 x 16GB,17.222,Black / Silver,11.253,15,551.11
Kingston,KSM29RD4/32MEI 32 GB,DDR4-2933,1 x 32GB,5.174,Green / Black,14.32,21,165.57
ADATA,XPG GAMMIX D30 32 GB,DDR4-3200,2 x 16GB,,Silver / Black,10,16,
Corsair,Vengeance LPX 8 GB,DDR4-4200,2 x 4GB,,Black / Yellow,9.048,19,
Transcend,JM1333KLH-4G 4 GB,DDR3-1333,1 x 4GB,,,13.503,9,
Crucial,Ballistix Sport AT 16 GB,DDR4-3200,2 x 8GB,,Silver / Black,10,16,
Crucial,Ballistix Sport LT 64 GB,DDR4-3200,4 x 16GB,,White / Silver,10,16,
Corsair,Vengeance LPX 64 GB,DDR4-3200,4 x 16GB,,Black / Yellow,10,16,
G.Skill,Trident Z 32 GB,DDR4-3200,2 x 16GB,5.156,Red / Silver,10,16,164.99
GeIL,EVO POTENZA 16 GB,DDR4-3000,2 x 8GB,3.687,Red / Black,10.667,16,58.99
G.Skill,Trident Z Royal 32 GB,DDR4-3000,4 x 8GB,6.718,Gold,10.667,16,214.99
G.Skill,Trident Z Royal 16 GB,DDR4-4000,2 x 8GB,12.812,Gold,8.5,17,204.99
G.Skill,Trident Z 16 GB,DDR4-3600,2 x 8GB,5.937,Silver / White,9.444,17,94.99
Crucial,Ballistix RGB 32 GB,DDR4-3000,2 x 16GB,5.625,White,10,15,179.99
Corsair,Vengeance LPX 32 GB,DDR4-4400,4 x 8GB,,Black / Yellow,7.727,17,
G.Skill,Ripjaws V Series 64 GB,DDR4-3200,4 x 16GB,10.922,Black,8.75,14,699.00
Corsair,Dominator Platinum RGB 16 GB,DDR4-4266,2 x 8GB,30.106,Black,8.908,19,481.69
G.Skill,Trident Z 16 GB,DDR4-4133,2 x 8GB,8.124,Silver / White,9.194,19,129.99
G.Skill,Ripjaws 4 series 16 GB,DDR4-2133,2 x 8GB,8.062,Red,14.065,15,129.00
G.Skill,Ripjaws V Series 64 GB,DDR4-2666,4 x 16GB,4.284,Red,11.253,15,274.19
Kingston,HyperX Fury RGB 32 GB,DDR4-3000,4 x 8GB,6.842,Black,10,15,218.95
Corsair,Vengeance LED 32 GB,DDR4-3000,2 x 16GB,12.515,Black / Red,10,15,400.49
Corsair,Dominator Platinum 16 GB,DDR3-1600,2 x 8GB,23.895,Black / Silver,11.25,9,382.32
ADATA,XPG SPECTRIX D80 16 GB,DDR4-3200,2 x 8GB,24.457,Red,10,16,391.31
ADATA,XPG Z1 8 GB,DDR4-2800,2 x 4GB,,Red / Black,12.143,17,
Kingston,KVR1333D3N9K4/16G 16 GB,DDR3-1333,4 x 4GB,,Green,13.503,9,
Thermaltake,TOUGHRAM 16 GB,DDR4-3600,2 x 8GB,,White / Silver,10,18,
Team,T-Force Delta RGB 16 GB,DDR4-2666,2 x 8GB,,White,11.253,15,
Kingston,HyperX Fury 16 GB,DDR4-3200,1 x 16GB,,Black / Silver,11.25,18,
HP,B4U37AA 8 GB,DDR3-1600,1 x 8GB,,Black / Blue,13.75,11,
Team,Elite Plus 16 GB,DDR4-2400,1 x 16GB,,Red / Black,13.333,16,
OLOy,MD4U163216CGDA 32 GB,DDR4-3200,2 x 16GB,4.250,Black,10,16,135.99
Team,T-FORCE VULCAN Z 64 GB,DDR4-3000,2 x 32GB,3.125,Gray,10.667,16,199.99
G.Skill,Trident Z Royal 32 GB,DDR4-3200,4 x 8GB,11.562,Silver,8.75,14,369.99
Crucial,Ballistix 32 GB,DDR4-3000,2 x 16GB,4.687,White,10,15,149.99
G.Skill,Trident X 16 GB,DDR3-2400,4 x 4GB,8.146,Black / Red,8.333,10,130.34
G.Skill,Flare X 32 GB,DDR4-2933,2 x 16GB,9.031,Black,9.547,14,289.00
Corsair,Vengeance LPX 32 GB,DDR4-2400,4 x 8GB,5.630,Black,12.5,15,180.16
Corsair,CMV4GX3M2A1333C9 4 GB,DDR3-1333,2 x 2GB,7.375,Black / Silver,13.503,9,29.50
Patriot,Signature Line 16 GB,DDR4-2400,2 x 8GB,5.962,,14.167,17,95.39
Team,Elite 8 GB,DDR3-1600,1 x 8GB,,Black,13.75,11,
Kingston,KVR1333D3N9HK4/32G 32 GB,DDR3-1333,4 x 8GB,5.051,Green,13.503,9,161.63
G.Skill,Trident Z RGB 32 GB,DDR4-2933,2 x 16GB,,Black,9.547,14,
G.Skill,NT Series 8 GB,DDR4-2133,1 x 8GB,,Black,14.065,15,
G.Skill,Trident Z Neo 256 GB,DDR4-2666,8 x 32GB,,Black / Silver,13.503,18,
Corsair,Dominator Platinum 16 GB,DDR4-4133,2 x 8GB,,Silver / Black,9.194,19,
Crucial,Ballistix Sport LT 16 GB,DDR4-3000,2 x 8GB,,Silver / Gray,10.667,16,
Crucial,CT2K102464BD186D 16 GB,DDR3-1866,2 x 8GB,,Green / Black,13.934,13,
Kingston,HyperX Fury Black 16 GB,DDR4-2133,4 x 4GB,,Black / Silver,13.127,14,
Corsair,Vengeance Pro Series 16 GB,DDR3-2800,2 x 8GB,,Black / Red,8.571,12,
Corsair,ValueSelect 32 GB,DDR4-2666,1 x 32GB,4.000,Black,13.503,18,127.99
GeIL,EVO SPEAR 16 GB,DDR4-2400,2 x 8GB,,Black / Orange,13.333,16,
Kingston,HyperX FURY 16 GB,DDR3-1866,2 x 8GB,5.249,Black,11.79,11,83.99
G.Skill,Sniper X 64 GB,DDR4-3200,4 x 16GB,3.750,Black / Camo,10,16,239.99
G.Skill,Ripjaws V Series 64 GB,DDR4-3200,4 x 16GB,5.078,Black,9.375,15,324.99
Samsung,M378B5173DB0-CK0 4 GB,DDR3-1600,1 x 4GB,4.250,Green,13.75,11,17.00
Corsair,Vengeance RGB 64 GB,DDR4-3000,4 x 16GB,14.118,Black,10.667,16,903.54
Kingston,HyperX Predator RGB 16 GB,DDR4-3000,2 x 8GB,6.374,Black,10,15,101.99
Corsair,Dominator Platinum RGB 64 GB,DDR4-3200,8 x 8GB,7.348,Black,10,16,470.25
Kingston,ValueRAM 4 GB,DDR4-2133,1 x 4GB,17.120,Black / Green,14.065,15,68.48
Corsair,Dominator Platinum 16 GB,DDR3-1866,2 x 8GB,17.499,Black / Silver,9.646,9,279.99
Team,T-Force XTREEM 32 GB,DDR4-4000,4 x 8GB,,Black / Silver,9,18,
Corsair,Dominator Platinum 32 GB,DDR4-3600,4 x 8GB,,Black / Silver,8.889,16,
G.Skill,Trident Z 64 GB,DDR4-3200,4 x 16GB,,Silver / White,8.75,14,
Corsair,Vengeance RGB 16 GB,DDR4-3600,2 x 8GB,21.852,Black,10,18,349.63
Patriot,PSD48G2133K 8 GB,DDR4-2133,2 x 4GB,4.499,Black / Green,14.065,15,35.99
Crucial,Ballistix RGB 64 GB,DDR4-3200,2 x 32GB,4.672,Red,10,16,299.00
Corsair,Vengeance LPX 16 GB,DDR4-4133,2 x 8GB,13.749,Black / Yellow,9.194,19,219.99
G.Skill,FORTIS 32 GB,DDR4-2400,2 x 16GB,,Black / Red,13.333,16,
GeIL,EVO POTENZA 16 GB,DDR4-3200,2 x 8GB,3.437,Red,10,16,54.99
G.Skill,Ripjaws V Series 16 GB,DDR4-3000,2 x 8GB,,Silver,10,15,
G.Skill,NT Series 16 GB,DDR4-2133,2 x 8GB,,Black,14.065,15,
Corsair,Vengeance LPX 16 GB,DDR4-3000,4 x 4GB,17.849,Black / Red,10,15,285.58
Kingston,KSM24RS8/8MEI 8 GB,DDR4-2400,1 x 8GB,5.124,Green / Black,14.167,17,40.99
Kingston,KVR16N11H/8 8 GB,DDR3-1600,1 x 8GB,4.111,Green,13.75,11,32.89
Mushkin,Essentials 8 GB,DDR4-2133,2 x 4GB,5.249,Black / Green,14.065,15,41.99
Kingston,HyperX Fury Blue 16 GB,DDR3-1333,2 x 8GB,5.249,Blue / Silver,13.503,9,83.99
G.Skill,Ripjaws X Series 4 GB,DDR3-1600,1 x 4GB,5.997,,11.25,9,23.99
GeIL,SUPER LUCE RGB SYNC 8 GB,DDR4-2400,2 x 4GB,11.123,Black,13.333,16,88.98
GeIL,EVO POTENZA 8 GB,DDR4-2400,2 x 4GB,,Red / Black,13.333,16,
GeIL,EVO SPEAR 8 GB,DDR4-2400,2 x 4GB,,Black,13.333,16,
Corsair,Vengeance LPX 16 GB,DDR4-3000,4 x 4GB,,Black / Yellow,10,15,
V-Color,Prism Plus RGB 16 GB,DDR4-3200,2 x 8GB,,Black,10,16,
Kingston,Savage 16 GB,DDR4-2400,2 x 8GB,,Black / White,10,12,
Corsair,Vengeance Pro 16 GB,DDR3-1866,2 x 8GB,,Black / Silver,9.646,9,
ADATA,XPG Z1 32 GB,DDR4-2400,2 x 16GB,,Red / Black,13.333,16,
Team,T-Force Delta RGB 8 GB,DDR4-2400,1 x 8GB,,Black,12.5,15,
Mushkin,Enhanced Silverline 16 GB,DDR4-2400,2 x 8GB,3.437,Silver / Green,14.167,17,54.99
G.Skill,Aegis 32 GB,DDR4-2400,2 x 16GB,4.687,Red / Black,14.167,17,149.99
Kingston,HyperX Fury Red 16 GB,DDR3-1333,2 x 8GB,5.249,Red / Silver,13.503,9,83.99
G.Skill,Ripjaws Series 4 GB,DDR3-1600,1 x 4GB,7.473,Black / Red,11.25,9,29.89
Corsair,Vengeance RGB Pro 64 GB,DDR4-2666,8 x 8GB,8.766,Black,12.003,16,561.00
Kingston,ValueRAM 8 GB,DDR4-2133,1 x 8GB,5.611,Black / Green,14.065,15,44.89
Kingston,KCP426NS6/4 4 GB,DDR4-2666,1 x 4GB,5.737,Green / Black,14.254,19,22.95
Crucial,Ballistix Sport LT 16 GB,DDR4-3000,1 x 16GB,,White / Silver,10,15,
Corsair,Dominator Platinum 16 GB,DDR4-3000,4 x 4GB,,Black / Silver,10,15,
ADATA,XPG Z1 16 GB,DDR4-2400,2 x 8GB,,Red / Black,13.333,16,
Corsair,Vengeance 24 GB,DDR3-1600,6 x 4GB,,Black / Silver,11.25,9,
Patriot,Viper Xtreme Division 4 8 GB,DDR3-1866,4 x 2GB,18.750,Black / Silver,9.646,9,150.00
Kingston,HyperX Fury Black 32 GB,DDR4-2133,4 x 8GB,,Black / Silver,13.127,14,
G.Skill,Ripjaws V Series 8 GB,DDR4-3733,2 x 4GB,16.125,Black,9.108,17,129.00
Team,T-Force Vulcan 8 GB,DDR4-3200,2 x 4GB,,Red / Black,10,16,
Corsair,Vengeance LP 8 GB,DDR3-1600,2 x 4GB,,Black,13.75,11,
Team,T-FORCE DARK Z 16 GB,DDR4-3000,1 x 16GB,3.749,Red / Black,10.667,16,59.99
G.Skill,Trident Z 16 GB,DDR4-3200,2 x 8GB,13.500,Red / Silver,10,16,216.00
G.Skill,Trident Z Royal 32 GB,DDR4-3200,4 x 8GB,12.797,Gold,8.75,14,409.52
G.Skill,Aegis 16 GB,DDR4-2400,1 x 16GB,3.437,Black / Red,14.167,17,54.99
G.Skill,Ripjaws V Series 32 GB,DDR4-3000,4 x 8GB,4.281,Black / Red,10,15,136.99
G.Skill,Ripjaws V Series 32 GB,DDR4-3200,4 x 8GB,,Black,8.75,14,
G.Skill,Ripjaws X Series 8 GB,DDR3-1333,1 x 8GB,4.624,Black / Red,13.503,9,36.99
